,dart_AdvertisingExpenses,dart_AllowanceForOtherDoubtfulAccounts,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromCommission,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesFromFinancialGuaranteeFinanceExpense,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalOfInvestmentProperty,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_PersonalExpense,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts,dart_SalariesWages,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_ProfitLoss,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_RevenueFromRenderingOfServices,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromDividends,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromRoyalties,ifrs-full_RevenueFromSaleOfGoods,ifrs-full_SharebasedPaymentTransactions
[005990],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229,464,915",,,,"9,074,587","166,151,002",,,,,,,,,,,,,"62,080,732",,,,,,"2,911,970,428","2,732,457,269",,,,,"141,918,604","136,289,218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,185,,,,,"71,155,319","395,615,917",,,"668,260,396",,,,"2,394,286,857","3,062,547,253",,,"5,644,427,697",,,,,,
[067280],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,"10,912,703,945","321,843,666",,,,,,,,,,,,"46,296,657,602",,,,,,,,,"12,434,513,831",,,,,"1,016,102,634",,,,"58,731,171,433",,,,,,
[041920],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,969,832,076",,,,,"1,205,799,599","121,624,670",,,,,,,,,,,,,,,,,,,,,"2,491,117,855",,,,,,,,,,,,,,,,,,,,,,,402,,,"8,075,382,789",402,,,,,"1,179,594","31,426,375",,"5,460,949,931","635,814,119",,,,"3,448,439,667","4,084,253,786",,,"13,536,332,720",,,,,,
[017180],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,268,966,844",,,,,"436,041,574","37,581,541",,,,,,,,,,,,,,,,,,,,,"18,219,881,990",,,,,,,,,,,,,,"966,773,291",,,,,,,,,-216,,,"17,974,884,484",,,,,,"1,881,385,445","449,175,454",,"14,950,915,146",,,,,"-5,269,490,093","-5,269,490,093",,,"32,925,799,630",,,,,,
[009680],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,887,211,707",,,,,"283,549,220","31,264,328",,,,,,,,,,,,,,,,,,,,,"3,029,076,621",,,,,,,,,,,,,,,,,,,,,,,184,,,"38,027,780,002",,,,,,"35,866,164","2,006,171,230",,"5,916,288,328","1,069,220,263",,,,"4,040,581,402","5,109,801,665",,,"43,944,068,330",,,,,,
[033920],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"731,683,256",,,,,"1,879,962,695","69,878,399,484",,,,,,,,,,,,,,,,,,,,,"12,475,275,190",,,,,,,,,,,,,,,,,,,,,,,,,,"19,978,533,439",,,,,,,"41,058,316",,"13,206,958,446","-14,269,206,946",,,,"-52,956,488,271","-67,225,695,217",,,"33,185,491,885",,,,,,
[018700],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,113,551,365","251,785,240",,,,,"60,654,474","33,578,877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,14,,,,,"27,971,696","161,160,182",,,,,,,"412,049,323","412,049,323",,,"7,365,336,605",,,,,,
[015350],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,293,774,716",,,,,"2,336,537,754","33,031,701",,,,,,,,,,,,,,,,,,,,,"25,274,712,821",,,,,,,,,,,,,,"-418,161,154",,,,,,,,,"2,057",,,"308,872,461,684",,,,,,"61,123,321","809,867,200",,"49,568,487,537","6,357,680,394",,,,"20,570,183,100","26,927,863,494",,,"358,440,949,221",,,,,,
[030790],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-688,840,922",,,,,"7,646,367",,,,,,,,,,,,,,,,,,,,,,"740,188,328",,,,,,,,,,,,,,,,,,,,,,,-196,-165,-31,"1,811,349,326",-196,-165,-31,,,,"40,403,613",,"51,347,406",,,,,"-2,570,426,920","-2,167,835,391","-2,167,835,391","-402,591,529","1,862,696,732",,,,,,
[065450],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"308,122,871",,,,,"6,628,235","76,346,894",,,,,,,,,,,,,,,,,,,,,"874,025,001",,,,,,,,,,,,,,,,,,,,,,,-11,,,"10,518,465,996",-11,,,,,"656,036,733","31,356,925",,"1,182,147,872","-98,843,684",,0,,"-287,431,912","-386,275,596",,,"11,700,613,868",,,,,,
[018260],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,084,733,986","10,219,908,523",,,,,,,"1,210,592,901","10,526,914,838",,,,,,,,,,"845,845,794","1,399,351,286",,,,,,,,,"129,790,397,302",,,,,"4,476,820,246","1,968,284,066",,,,,,,,,,,,,,,,,,,,,"147,563,852,821",,,,,,,,,,,,,,,,,,,,,,,-713,,,"838,937,078,659",-713,,,,,"3,455,789,981","28,831,557,347",,"277,354,250,123","212,852,778,223",,,,"-55,178,077,375","157,674,700,848",,,"1,116,291,328,782",,,,,,
[028050],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,402,022,097","8,715,379,775",,,,,,,"212,276,415","3,146,491,913",,,,,,,,,,"7,923,809,477","8,343,965,426",,,,,,,,,"53,530,842,857",,,,,"100,828,123,189","115,375,342,098",,,,,,,,,,,,,,,,,,,,,"73,996,347,835",,,,,,,,,,,,,,,,,,,,,,,195,,,"1,143,124,922,022",,,,,,"16,480,051,318","29,263,893,785",,"127,527,190,692","13,505,319,996",,,,"38,262,146,419","51,767,466,415",,,"1,270,652,112,714",,,,,,
[005930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,032,343,000,000",,,,,"246,369,000,000","162,920,000,000",,,,,,,,,,,,,,,,,,,,,"7,334,647,000,000",,,,,,,,,,,,,,"1,647,433,000,000",,,,,,,,,339,,,"29,720,949,000,000",339,,,,,,"1,619,269,000,000",,"10,366,990,000,000","781,697,000,000",,,,"2,305,931,000,000","3,087,628,000,000","2,305,931,000,000",,"40,087,939,000,000",,,,,,
[010140],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-32,157,359,053",,,,,"858,830,709,169","904,499,056,695",,,,,,,,,,,,,,,,,,,,,"80,431,893,273",,,,,,,,,,,,,,,,,,,,,,,,-331,-331,"1,766,867,804,292",,,,,,"216,651,654,617","94,258,631,890",,"48,274,534,220","-450,380,577",,,,"-199,768,348,729","-200,218,729,306",,,"1,815,142,338,512",,,,,,
[002170],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,083,165,905",,,,,"159,525,043","1,249,701",,,,,,,,,,,,,,,,,,,,,"1,490,942,160",,,,,,,,,,,,,,,,,,,,,,,"1,352",,,"31,028,220,361",,,,,,"8,226,258,776","3,329,213,465",,"11,574,108,065","1,492,343,031",,,,"3,852,052,905","5,344,395,936",,,"42,602,328,426",,,,,,
[004450],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,004,979,381",,,,,"203,175,324","83,629,678",,,,,,,,,,,,,,,,,,,,,"2,700,245,399",,,,,,,,,,,,,,0,,,,,,,,,"1,207",,,"21,540,805,399","1,207",,,,,"384,244,114","800,740,035",,"4,705,224,780","330,346,220",,,,"2,214,814,118","2,545,160,338",,,"26,246,030,179",,,,,,
[101000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-853,571,901",,,,,"2,219,645,008","359,310,085",,,,,,,,,,,,,,,,,,,,,"1,412,161,375",,,,,,,,,,,,,,,,,,,,,,,14,,,"6,032,582,029",14,,,,,"127,362,035","21,331,395",,"558,589,474",,,,,"900,732,382","900,732,382",,,"6,591,171,503",,,,,,
[003100],,,,,,,,,,,,,"53,583,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,211,704,408",,,,,"1,260,650,327","14,000,000",,,,,,,,,,"931,604,300",,,,,,,,,,,"1,917,772,893",,,,,,,"11,643,420,586",,,,,,,"-4,204,567",,,,,,"17,890,672,381",,,774,,,"11,697,003,947",774,,,,,"543,652,525","60,285,308",,"7,125,272,734","1,315,893,094",,,,"4,659,094,424","5,974,987,518","4,659,094,424",,"18,822,276,681",,,,,,
[017510],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-304,976,091",,,,,"145,195,847","72,431,090",,,,,,,,,,,,,,,,,,,,,"368,197,541",,,,,,,,,,,,,,,,,,,,,,,-47,,,"2,693,471,252",-47,,,,,"1,756,001,681","955,172,688",,"63,221,450","-309,540,397",,,,"-723,499,930","-1,033,040,327",,,"2,756,692,702",,,,,,
[091090],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,659,856,221",,,,,"3,909,788,115","231,537,279",,,,,,,,,,,,,,,,,,,,,"3,872,672,976",,,,,,,,,,,,,,"765,449,265",,,,,,,,,57,,,"29,009,995,687",57,,,,,"1,974,520,817","75,611,697",,"6,297,978,462","34,442,831",,"-1,229,344",,"3,472,411,424","3,437,968,593",,,"35,307,974,149",,,,,,
[108860],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,931,679,173",,,,,"6,295,598,993","64,212,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,"4,743,718,184",189,,,,,"166,318,871","30,583,447",,,0,,,,"4,163,972,089","4,163,972,089",,,"2,812,039,011",,,,,,
[068270],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126,206,476,125",,,,,"22,275,140,246","6,112,099,170",,,,,,,,,,,,,,,,,,,,,"52,105,058,022",,,,,,,,,,,,,,,,,,,,,,,834,,,"167,382,667,888",831,,,,,"1,679,144,447","8,014,565,512",,"178,311,534,147","35,077,587,367",,,,"113,627,350,899","148,704,938,266",,,"345,694,202,035",,,,,,
[336370],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,488,348,461",,,,,"16,842,574","1,008,753,520",,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,123,,,,,"8,026,018,785",,,,,,,,,,,,,,,,,,"813,088,288","1,741,326,461",,,"1,554,771,517",,,"1,077,189,607","4,869,904,171","6,424,675,688",,,"27,523,254,547",,,,,"26,446,064,940",
[086980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,021,211,208",,,,,"606,776,030","223,507,553",,,,,,,,,,,,,,,,,,,,,"2,384,364,830",,,,,,,,,,,,,,,,,,,,,,,32,,,"27,622,830,016",32,,,,,"26,185,996","150,208,466",,"4,405,576,038","512,664,632",,,,"2,015,837,523","2,528,502,155",,,"32,028,406,054",,,,,,
[050960],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"725,434,378",,,,,"5,010,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,"2,969,591,992",117,,,,,"606,247","143,509,050",,,"81,153,786",,,,"792,194,045","873,347,831",,,"3,695,026,370",,,,,,
[033790],"5,843,354,399","10,889,475","1,180,870","-49,999,511","2,422,400,468","1,298,245","60,000",,,,,,,,,,,,,"37,699,551",,,,"34,952,168",,"7,922,261",,,"1,011,373",,,,,,,,,"3,367,283","623,798",,,,,,"1,607,358","23,159,126","24,935,254",,,,,,,,,,"35,585,581","48,745,360",,,,,"13,105,348","15,286,475",,,"-4,542,879,606","298,228,284",,,,"65,267,948","26,175,950",,,"40,774,542","705,000",,"1,740,000",,,,,,,,,,"52,162,600","303,224,592",,"4,095,251","33,169,436","9,013,512,715",0,"9,823,089","17,431,656","2,833,683",,,,,,,"2,100,000",0,,"-392,877,891",,,,,,,,,,,,"284,412,865",,,,,,"172,776,468","29,426,339",,"4,470,633,109",0,,,,"-5,040,015,628","-5,040,015,628",,,"4,755,045,974",,,,,,0
[004970],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-325,512,756",,,,,"17,549,809,913","12,830,287,895",,,,,,,,,,,,,,,,,,,,,"5,543,544,499",,,,,,,,,,,,,,,,,,,,,,,616,,,"65,447,010,604",,,,,,"313,736,001","7,950,259,607",,"5,218,031,743","2,167,616,056",,,,"9,862,916,812","12,030,532,868",,,"70,665,042,347",,,,,,
[065350],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,660,379,509",,,,,"402,964,173","128,711,595",,,,,,,,,,,,,,,,,,,,,"3,784,241,510",,,,,,,,,,,,,,0,,,,,,,,,90,93,-3,"26,743,308,492",84,87,-3,,,"770,923,641","412,295,679",,"4,865,173,727","390,534,862",,,,"2,116,703,146","2,576,004,125","2,185,469,263","-68,766,117","31,608,482,219",,,,,,
[011930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,762,161,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,"-1,821,717,004",,"398,845,195",,,"1,437,473,710",,,,,,,"60,631,525,312",,,,,,,,,"10,133,419,515","139,561,828",,,,"-384,243,294","-1,682,155,176",,"1,437,473,710","70,764,944,827",,,,,,
[004170],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,589,203,691",,,,,"7,077,821,938","2,209,046,157",,,,,,,,,,,,,,,,,,,,,"241,740,764,070",,,,,,,,,,,,,,,,,,,,,,,"6,878",,,"66,756,985,194","6,878",,,,,"15,188,141,956","52,915,581,294",,"264,329,967,761","-2,473,918,979",,,,"67,659,337,789","65,185,418,810",,,"331,086,952,955",,,,,,
[108320],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,564,889,451",,,,,"5,461,615,407","1,222,828,763",,,,,,,,,,,,,,,,,,,,,"46,117,544,713",,,,,,,,,,,,,,,,,,,,,,,803,,,"154,896,036,625",803,,,,,"53,055,755","1,159,624,109",,"57,682,434,164","3,850,333,502",,,,"13,059,910,947","16,910,244,449",,,"212,578,470,789",,,,,,
[003410],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,297,457,606",,,,,"5,397,468,552","7,501,120,398",,,,,,,,,,,,,,,,,,,,,"19,853,687,946",,,,,,,,,,124,,,,,,,,,,,,,114,,,"160,728,995,590",114,,,,,"5,386,607,994","40,860,120,403",,"46,151,145,552","1,911,570,648",,,,"57,755,747,521","59,667,318,169",,,"206,880,141,142",,,,,,
[010280],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,070,619,553",,,,,"306,417,987","265,220,259",,,,,,,,,,,,,,,,,,,,,"2,872,040,829",,,,,,,,,,,,,,,,,,,,,,,-24,,,"15,285,435,679",,,,,,"68,882,846","138,075,581",,"1,801,421,276",,,,,"-960,229,090","-960,229,090",,,"17,086,856,955",,,,,,
[015540],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,881,976,778",,,,,"13,637,383",,,,,,,,,,,,,,,,,,,,,,"1,928,552,021",,,,,,,,,,,,,,"38,023,780",,,,,,,,,-220,,,"1,836,594,307",,,,,,"225,347,288","10,851,648",,"46,575,243",,,,,"-2,120,858,815","-2,120,858,815",,,"1,883,169,550",,,,,,
[067390],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,715,145,408",,,,,"2,527,756,990","1,053,737,363",,,,,,,,,,,,,,,,,,,,,"2,782,660,786",,,,,,,,,,,,,,,,,,,,,,,-222,,,"14,586,362,517",-222,,,,,"4,180,754,124","1,521,792,004",,"1,067,515,378","423,829,097",,,,"-3,323,916,998","-2,900,087,901",,,"15,653,877,895",,,,,,
[099190],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,569,808,808",,,,,"1,886,315,281","1,305,871,510",,,,,,,,,,,,,,,,,,,,,"10,179,091,995",,,,,,,,,,,,,,"81,975,493",,,,,,,,,471,,,"20,836,100,973",471,,,,,"727,232,045","1,535,341,186",,"16,748,900,803","1,632,312,988",,,,"6,408,024,225","8,040,337,213",,,"37,585,001,776",,,,,,
[032080],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"302,004,527",,,,,"671,946,817","1,134,688,468",,,,,,,,,,,,,,,,,,,,,"1,463,498,204",,,,,,,,,,,,,,,,,,,,,,,-9,,,"6,566,881,996",-9,,,,,"222,336,894","275,911,295",,"1,765,502,731","83,427,250",,,,"-190,589,976","-107,162,723",,,"8,332,384,727",,,,,,
[158430],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"851,176,583",,,,,"348,901,393","5,574,165",,,,,,,,,,,,,,,,,,,,,"2,582,168,029",,,,,,,,,,,,,,,,,,,,,,,287,,,"2,431,425,354",287,,,,,"5,226,629","151,354,976",,"3,433,344,612","194,522,410",,,,"1,146,109,748","1,340,632,158",,,"5,864,769,966",,,,,,
[011090],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,534,747,067",,,,,"516,455,255","182,442,354",,,,,,,,,,,,,,,,,,,,,"6,442,140,756",,,,,,,,,,,,,,,,,,,,,,,-22,,,"55,355,617,757",,,,,,"179,487,969","32,820,811",,"4,907,393,689","-140,679,825",,,,"-1,206,721,499","-1,347,401,324",,,"60,263,011,446",,,,,,
[031330],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,802,037,047",,,,,"8,542,782,961","8,288,715,655",,,,,,,,,,,,,,,,,,,,,"3,409,442,714",,,,,,,,,,,,,,,,,,,,,,,99,,,"298,294,764,251",99,,,,,"504,749,024","119,790,574",,"16,211,479,761","2,908,376,708",,,,"9,762,769,195","12,671,145,903",,,"314,506,244,012",,,,,,
[060540],,,,,,,,,,"1,413,704,359",,,"76,560,098",,"127,215,425","32,453,890","94,761,535",,"1,337,144,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"702,766,472",,,,,"876,503","398,270",,,,,,,,,,"220,695,160",,"78,061,455","91,454,548",,"2,545,286,003",,,,,,"691,810,910",,,,,,,,,,,,,,,,,,,,,,,40,,,"1,540,919,784",40,,,,,"52,165,539","662,204,451",,"1,394,577,382","258,907,825",,,,"1,054,375,792","1,313,283,617",,,"2,935,497,166",,,"2,765,981,163",,"169,516,003",
[056190],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,371,297,061",,,,,"44,894,727,215","44,432,098,455",,,,,,,,,,,,,,,,,,,,,"16,647,475,582",,,,,,,,,,,,,,,,,,,,,,,"1,209",,,"153,430,202,948","1,209",,,,,"55,868,151","2,800,479,551",,"49,018,772,643","-4,954,516,713",,,,"40,533,053,934","35,578,537,221",,,"202,448,975,591",,,,,,
[080000],,,,"749,079,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,397,823,385",,,,,,,,,"168,494,713",,,,,,,,,,,,,,,"875,060,278",,,,,"1,131,418,259",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,520,368,955",,,,,,,,,,,,"-1,549,813,501",,,,,,,,,,"896,228,936",98,,,"10,884,139,469",98,,,,,,"2,528,522,598",,"3,651,787,214","291,689,888",,,,"3,368,250,969","3,659,940,857",,,"14,535,926,683",,,,,,
[005850],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,425,947,124",,,,,"17,077,743,987","6,698,088,014",,,,,,,,,,,,,,,,,,,,,"29,610,393,454",,,,,,,,,,,,,,,,,,,,,,,638,,,"353,470,304,595",,,,,,"3,485,954,101","5,872,238,023",,"55,036,340,578","8,547,458,039",,,,"29,644,428,980","38,191,887,019",,,"408,506,645,173",,,,,,
[012750],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,092,455,942",,,,,"2,856,104,298","5,056,064,280",,,,,,,,,,,,,,,,,,,,,"89,667,100,079",,,,,,,,,,,,,,,,,,,,,,,"1,031",,,"388,092,057,966","1,031",,,,,"258,769,035","1,216,755,673",,"137,759,556,021","11,976,940,282",,,,"34,873,542,316","46,850,482,598",,,"525,851,613,987",,,,,,
