,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsOnDisposalsOfInvestments,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossBeforeTax,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromRoyalties,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[010060],,"229,704,000",,"3,682,550,000",,,"1,781,217,000",,"177,585,000",,,"1,202,005,000",,"8,603,523,000",,,,,,,,,,,,,,"12,355,990,000","5,634,703,000",,,,,"1,271,353,000",,,,"8,512,408,000",,,"31,988,114,000",,"447,387,000",,,,,,"3,407,333,000",,"11,022,000",,,,"-1,576,741,000",,,,,,,,,"1,740,292,000",,"11,022",,,"527,212,782,000",,,,,,,,,,"44,344,104,000","76,645,274,000",,,"262,875,744,000","339,521,018,000","262,875,744,000",,,"571,556,886,000",,,"1,510,690,000",,,
[017670],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,413,000,000",,,,,,,,"3,098,261,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"3,098,261,000,000",,,,,,
[005610],,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,779,241,015",,,"424,211,288","112,171,639",,,,,,,,,,,,,,,,,,,,,,,"-21,654,107",,,,,,,,,,"14,880,873,296",351,,,"184,820,383,706",,,,,,,"358,060,553","48,163,019",,"60,315,753,310","824,772,232",,,"2,934,956,791","3,759,729,023",,,,"245,136,137,016",,,,,,
[048770],,,,,,,,,,"25,000,000",,,,,,"40,348,355",,"89,909",,"228,459,298","10,178,629",,"55,228,423",,,"14,635,237","50,578","-802,967,633",,,"59,873,501","72,436,584",,,,,,,,,,,,,,,,,,,,,,,"4,817,729",,"4,800,000",,,,,,,,,-78,,,,,,,,,,"228,459,298","35,178,629",,,,,,"-1,008,811,385","-1,008,811,385",,,,,,,,,,
[009450],,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,028,118,753",,,"2,439,263,223","2,635,387,835",,,,,,,,,"19,818,134,189",,,,,,,,,,,,,,,,,,,,,,,,,788,,,"77,432,327,018",,788,,,,,"168,088,628","49,196,828",,"32,846,252,942","2,762,691,592",,,"9,950,410,749","12,713,102,341",,,,"110,278,579,960",,,,,,
[000050],"144,687,876",,,"11,919,335,475","8,575,848",,,"40,110,948,640","1,029,137,936","39,144,000",,"55,528,949","35,349,343","227,756,598","1,195,483,878","510,914,743",,"3,225,800","8,768,225","1,616,144,647","241,561,590","971,795,269","805,326,183",,,"228,756,632","119,502,251","8,682,084,832",,,"1,938,381,053","1,896,623,703",,"50,545,052",,,"88,084,635","578,488,385","3,646,769","331,894,493","15,142,219,622",,"51,010,485","545,374,162","17,653,650",,,,"13,602,241,477",,183,"961,327,995",,,,,,,,,,,"28,022,592,783","36,337,913",,,,,"53,713,190,117",,,,,,,"2,577,472,642","280,705,590",,"23,824,304,454","1,398,749,947",,,"5,028,325,183","6,427,075,130",,,,"77,537,494,571",,,,,"49,514,901,788",
[013580],,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,802,106,195",,,"158,855,603","1,649,842,178",,,,,,,,,"13,586,224,664",,,,,,,,,,,,,,,,,,,,,,,,,280,,,"251,513,147,063",,,,,,,"3,588,086,929","807,756,132",,"21,388,330,859","1,048,783,436",,,"2,482,005,387","3,530,788,823",,,,"272,901,477,922",,,,,,
[004200],,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,862,642,784",,0,"2,640,516,177","3,083,582,824",,,,,,,,,"7,260,611,425",,,,,,,,"252,000,000",,,,,,,,,,,,,,"257,440,847",,,511,,,"142,581,427,602",,511,,,,,"2,915,624,140","70,204,700",,"20,123,254,209","2,611,514,187",,0,"6,962,642,510","9,574,156,697",,,,"162,704,681,811",,,,,,
[060480],,,,,,,,,,,,,,,,,,,,,,,,,,,,"-124,355,369",,,"6,073,591",,,,,,,,,,"404,803,400",,,,,,,,,,,,,,,,,,,,,,,,,-27,,,"7,152,670,059",,,,,,,"178,974,550","17,167,641",,"280,448,031","-3,557,590",,,"-276,531,097","-280,088,687",,,,"7,433,118,090",,,,,,
[011780],,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,480,635,265",,,"21,293,131,302","15,882,479,262",,,,,,,,,"34,040,001,181",,,,,,,,,,,,,,,,,,,,,,,,,"1,192",,,"630,101,031,071",,,,,,,"18,973,407,567","12,035,386,289",,"79,520,636,446","10,649,071,134",,,"33,304,194,893","43,953,266,027",,,,"709,621,667,517",,,,,,
[000270],,,,,,,,,,,,,,,,,,,,,,,,,,,,"639,335,000,000",,,"38,287,000,000",,,,,,,,,,"1,195,633,000,000",,,,,,,,,,,,"60,373,000,000",,,,"232,210,000,000",,,,,,,"489,977,000,000",,"2,898",,,"5,971,486,000,000",,,,,,,,"29,963,000,000",,"1,834,968,000,000","147,218,000,000","600,482,000,000",,"1,160,849,000,000","1,308,067,000,000",,,,"7,806,454,000,000",,,,,,
[089600],,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,800,950,992",,,,,,,,,,,,,,,,,,,,,,,,,,,"-69,471,189",,,,,,,,,,,278,,,,,278,,,,,,,,,"-663,987,728",,,"2,290,224,240","2,954,211,968",,,,"12,508,796,147",,,,,,
[004270],,,,,,,,,,,,,,,,,,,,,,,,,,,,"822,698,806",,,"85,034,818","39,847,896",,,,,,,,,"1,101,915,225",,,,,,,,,,,,,,,,,,,,,,,,,36,,,"15,088,382,729",,,,,,,"2,439,289,816","1,993,476,109",,"1,924,614,031","261,419,286",,,"762,776,458","1,024,195,744",,,,"17,012,996,760",,,,,,"602,123,723"
[095660],,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,040,179,569",,,"1,273,448,744","618,599,181",,,,,,,,,"11,468,067,968",,,,,,,,,,,,,,,,,,,,,,,,,464,,,"15,037,063,561",,,,,,,"1,675,246,539","1,503,268,162",,"24,508,247,537","3,488,358,724",,,"10,034,692,031","13,523,050,755",,,,"39,545,311,098",,,,,,
[042420],,,,,,,,,,,,,,,,,,,,,,,,,,,,"-89,343,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,,,,,,,,,,,,,,"1,184,733,547",,,"4,174,072,560","5,358,806,107",,,,"147,750,284",,,"25,650,500","118,141,311","3,958,473",
[090350],,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,099,900,504",,,"461,875,663","199,255,862",,,,,,,,,"18,309,161,695",,,,,,,,,,124,,,,,,,,,,,,,,,,,,"71,454,104,530",,,,,,,"2,398,100,950","2,075,912,397",,"21,409,062,199","521,067,124",,,"2,519,264,628","3,040,331,752",,,,"92,863,166,729",,,,,,
[000320],,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,098,414,533",,,"574,011","116,180,798",,,,,,,,,,,,,,,,,,,,,,,"2,181",,,,,,,,,,,,,,,,,,,,,"504,936,456","108,146,237",,,"-125,856,320",,,"22,957,449,142","22,586,017,527",,,,,,,,,,
