id,code,name,market
305,17040,광명전기,KOSPI
306,17900,광전자,KOSPI
307,37710,광주신세계,KOSPI
308,26910,광진실업,KOSDAQ
309,90150,광진윈텍,KOSDAQ
310,355150,교보10호스팩,KOSDAQ
311,331520,교보9호스팩,KOSDAQ
312,30610,교보증권,KOSPI
313,339770,교촌에프앤비,KOSPI
314,53270,구영테크,KOSDAQ
315,7690,국도화학,KOSPI
316,5320,국동,KOSPI
317,1140,국보,KOSPI
318,66620,국보디자인,KOSDAQ
319,43650,국순당,KOSDAQ
320,6050,국영지앤엠,KOSDAQ
321,60480,국일신동,KOSDAQ
322,78130,국일제지,KOSDAQ
323,307750,국전약품,KOSDAQ
324,2720,국제약품,KOSPI
325,243870,굿센,KONEX
326,204020,그리티,KOSDAQ
327,83420,그린케미칼,KOSPI
328,186230,그린플러스,KOSDAQ
329,14530,극동유화,KOSPI
330,900070,글로벌에스엠,KOSDAQ
331,204620,글로벌텍스프리,KOSDAQ
332,19660,글로본,KOSDAQ
333,14280,금강공업,KOSPI
334,14285,금강공업우,KOSPI
335,53260,금강철강,KOSDAQ
336,8870,금비,KOSPI
337,1570,금양,KOSPI
338,2990,금호건설,KOSPI
339,2995,금호건설우,KOSPI
340,11780,금호석유,KOSPI
341,11785,금호석유우,KOSPI
342,214330,금호에이치티,KOSPI
343,1210,금호전기,KOSPI
344,73240,금호타이어,KOSPI
345,36190,금화피에스시,KOSDAQ
346,49080,기가레인,KOSDAQ
347,35460,기산텔레콤,KOSDAQ
348,92440,기신정기,KOSPI
349,270,기아,KOSPI
350,24110,기업은행,KOSPI
351,13700,까뮤이앤씨,KOSPI
352,308100,까스텔바작,KOSDAQ
353,4540,깨끗한나라,KOSPI
354,4545,깨끗한나라우,KOSPI
355,187790,나노,KOSDAQ
356,286750,나노브릭,KOSDAQ
357,151910,나노스,KOSDAQ
358,121600,나노신소재,KOSDAQ
359,247660,나노씨엠에스,KOSDAQ
360,39860,나노엔텍,KOSDAQ
361,91970,나노캠텍,KOSDAQ
362,244880,나눔테크,KONEX
363,288490,나라소프트,KONEX
364,51490,나라엠앤디,KOSDAQ
365,190510,나무가,KOSDAQ
366,242040,나무기술,KOSDAQ
367,89600,나스미디어,KOSDAQ
368,293580,나우IB,KOSDAQ
369,257990,나우코스,KONEX
370,138610,나이벡,KOSDAQ
371,130580,나이스디앤비,KOSDAQ
372,36800,나이스정보통신,KOSDAQ
373,267320,나인테크,KOSDAQ
374,1260,남광토건,KOSPI
375,8350,남선알미늄,KOSPI
376,8355,남선알미우,KOSPI
377,4270,남성,KOSPI
378,3920,남양유업,KOSPI
379,3925,남양유업우,KOSPI
380,25860,남해화학,KOSPI
381,111710,남화산업,KOSDAQ
382,91590,남화토건,KOSDAQ
383,168330,내츄럴엔도텍,KOSDAQ
384,94860,네오리진,KOSDAQ
385,253590,네오셈,KOSDAQ
386,212560,네오오토,KOSDAQ
387,95660,네오위즈,KOSDAQ
388,42420,네오위즈홀딩스,KOSDAQ
389,950220,네오이뮨텍(Reg.S),KOSDAQ
390,311390,네오크레마,KOSDAQ
391,85910,네오티스,KOSDAQ
392,92730,네오팜,KOSDAQ
393,290660,네오펙트,KOSDAQ
394,306620,네온테크,KOSDAQ
395,153460,네이블,KOSDAQ
396,7390,네이처셀,KOSDAQ
397,86220,네추럴FNP,KONEX
398,33640,네패스,KOSDAQ
399,330860,네패스아크,KOSDAQ
400,5720,넥센,KOSPI
401,5725,넥센우,KOSPI
402,2350,넥센타이어,KOSPI
403,2355,넥센타이어1우B,KOSPI
404,89140,넥스턴바이오,KOSDAQ
405,65170,넥스트BT,KOSDAQ
406,3580,넥스트사이언스,KOSPI
407,137940,넥스트아이,KOSDAQ
408,348210,넥스틴,KOSDAQ
409,41140,넥슨지티,KOSDAQ
410,217270,넵튠,KOSDAQ
411,225570,넷게임즈,KOSDAQ
412,251270,넷마블,KOSPI
413,317860,노드메이슨,KONEX
414,104620,노랑풍선,KOSDAQ
415,90350,노루페인트,KOSPI
416,90355,노루페인트우,KOSPI
417,320,노루홀딩스,KOSPI
418,325,노루홀딩스우,KOSPI
419,194700,노바렉스,KOSDAQ
420,285490,노바텍,KOSDAQ
421,229500,노브메타파마,KONEX
422,278650,노터스,KOSDAQ
423,6280,녹십자,KOSPI
424,144510,녹십자랩셀,KOSDAQ
425,31390,녹십자셀,KOSDAQ
426,142280,녹십자엠에스,KOSDAQ
427,234690,녹십자웰빙,KOSDAQ
428,5250,녹십자홀딩스,KOSPI
429,5257,녹십자홀딩스2우,KOSPI
430,65560,녹원씨엔아이,KOSDAQ
431,4370,농심,KOSPI
432,72710,농심홀딩스,KOSPI
433,54050,농우바이오,KOSDAQ
434,69140,누리플랜,KOSDAQ
435,40160,누리플렉스,KOSDAQ
436,126870,뉴로스,KOSDAQ
437,60260,뉴보텍,KOSDAQ
438,12340,뉴인텍,KOSDAQ
439,214870,뉴지랩파마,KOSDAQ
440,270870,뉴트리,KOSDAQ
441,144960,뉴파워프라즈마,KOSDAQ
442,85670,뉴프렉스,KOSDAQ
443,119860,다나와,KOSDAQ
444,64260,다날,KOSDAQ
445,93640,다믈멀티미디어,KOSDAQ
446,340360,다보링크,KOSDAQ
447,39560,다산네트웍스,KOSDAQ
448,58730,다스코,KOSPI
449,23590,다우기술,KOSPI
450,32190,다우데이타,KOSDAQ
451,323350,다원넥스뷰,KONEX
452,68240,다원시스,KOSDAQ
453,145210,다이나믹디자인,KOSPI
