,dart_AdvertisingExpenses,dart_AllowanceForOtherDoubtfulAccounts,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_CumulativeLossPreviouslyRecognisedInOtherComprehensiveIncomeArisingFromReclassificationOfFinancialAssetsOutOfFairValueThroughOtherComprehensiveIncomeIntoFairValueThroughProfitOrLossMeasurementCategory,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExpensesOfProvisionsForRestoration,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromCommission,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfAvailableForSaleFinancialAssets,dart_GainsOnDisposalsOfAvailableForSaleFinancialAssetsFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfIntangibleAssets,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAsset,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_ImpairmentLossesOnAssociates,dart_ImpairmentLossesOnAvailableForSaleFinancialAssetsFinancialExpense,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesFromFinancialGuaranteeFinanceExpense,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnSaleOfInvestmentsInSubsidiaries,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAsset,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_PersonalExpense,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_SalariesWages,dart_SalesPromotionExpenses,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WarrantyExpenses,entity_BasicEarningsLossPerShare,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_RevenueFromRenderingOfServices,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromDividends,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromRoyalties,ifrs-full_RevenueFromSaleOfGoods,ifrs_BasicEarningsLossPerShare,ifrs_CostOfSales,ifrs_EarningsPerShareAbstract,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_ProfitLoss,ifrs_ProfitLossBeforeTax,ifrs_Revenue
[033790],0,0,"101,045,447","6,445,607","81,572,766","2,642,407","1,355,300",,,,,,,,,,,,,,"49,543,858",0,,,"58,929,891",,"28,892,690",,,,"9,891,878",,0,,,,,,,,,,0,"13,500","-5,616,628",,,,,,,,,"1,898,306","238,980,243","165,407,273",,,,,,,,"3,000","1,072,826","20,684,800",0,,,,,,,"16,073",4,,,"1,782,344,368","128,255,443",,,,"16,073","3,004",,,"37,778,043","246,811",0,"530,000",,,,,,,,,,"286,870,866",,,"3,166,805","29,583,012","894,201,793",0,"42,180,818","15,307,372","8,064,473",,,,,,0,0,,,,,,,,,,,101,,,"4,188,570,308",101,,,,,"252,606,991","173,719,221","2,676,546,161",0,,,,"1,703,469,667","1,703,469,667",,,"6,865,116,469",,,,,,,,,,,,,,,
[004970],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-9,356,121,924",,,,,"3,346,637,167","1,374,192,767",,,,,,,,,,,,,,,,,,,,,"6,054,372,671",,,,,,,,,,,,,,,,,,,,,,-190,,,"83,246,191,202",,,,,,"57,717,623","2,977,728,739","-3,301,749,253","-1,425,821,574",,,,"-3,037,844,834","-4,463,666,408",,,"79,944,441,949",,,,,,,,,,,,,,,
[065350],"35,042,231",,,"5,663,111","460,689,814","8,786,809",,,,,,,,,"31,230,015,088","3,135,796,492","28,094,218,596",,,,"184,670,264",,"3,728,037","8,000,000","233,514,272",,"9,923,100",,,,"386,310,501",,,"-26,370,436",,,,,,,,,"17,151,498","100,534,679","-242,213,073",,,,,,,,,"20,262,034","595,564,892","42,151,275",,"116,047,000",,,,,,"17,394,036","50,671,277","-49,998,000",,,,,,,,"260,430,520","61,560,510",,,"639,223,591","912,341,480","721,051,380",,,"291,461,070","398,029,327",,,"125,021,784","2,244,879","26,895,092","178,229,000",,,,,,"3,693,981,336","29,078,974,385",,,"1,063,952,907","20,528,409",,"14,090,837","104,476,483","3,916,032,264","12,789,009","81,147,990","6,360,189","23,092,069",,,,,,,,,"501,065,936",,,"-47,433,000","-12,111,979",,,,,,18,18,"31,951,066,468",,16,16,,,"596,238,169","-99,527,119","3,341,521,834","-555,349,812",,,"2,519,632,581","392,239,858","-163,109,954","392,239,858",,"35,292,588,302",,,,,"32,772,955,721",,,,,,,,,,
[011930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,274,065,821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"-34,359,377,534",,"34,569,275,085",,,"162,933,384",,,,,,,"67,305,430,069",,,,,,,,"6,992,065,404","4,615,724,602",,,,"-34,196,444,150","-38,975,102,136",,"162,933,384","74,297,495,473",,,,,,,,,,,,,,,
[004170],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,960,463,871",,,,,"5,554,652,822","2,679,183,838",,,,,,,,,,,,,,,,,,,,,"292,327,108,730",,,,,,,,,,,,,,,,,,,,,,"2,953",,,"92,721,432,799","2,953",,,,,"13,252,447,375","1,507,440,659","339,287,572,601","9,040,053,744",,,,"29,050,872,395","38,090,926,139",,,"432,009,005,400",,,,,,,,,,,,,,,
[056000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"463,250,659",,,,,"-18,198,894","-3,349,246",,,,,,,,,,,,,,,,,,,,,"1,610,482,623",,,,,,,,,,,,,,,,,,,,,,,,,"2,191,992,600",,34,,,,"859,118","35,260,265","2,073,733,282",,,,,"482,802,158","482,802,158",,,"4,265,725,882",,,,,,,,,,,,,,,
[108320],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,186,531,921",,,,,"1,112,143,791","680,854,156",,,,,,,,,,,,,,,,,,,,,"34,942,451,196",,,,,,,,,,,,,,,,,,,,,,"1,087",,,"157,796,489,111","1,087",,,,,"13,768,308","977,711,686","56,128,983,117","4,907,767,968",,,,"17,673,996,966","22,581,764,934",,,"213,925,472,228",,,,,,,,,,,,,,,
[003410],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,581,073,377",,,,,"7,674,170,514","8,785,809,073",,,,,,,,,,,,,,,,,,,,,"20,142,517,421",,,,,,,,,67,,,,,,,,,,,,,67,,,"172,419,169,426",67,,,,,"4,704,930,510","793,357,977","64,723,590,798","5,742,139,557",,,,"33,815,722,728","39,557,862,285",,,"237,142,760,224",,,,,,,,,,,,,,,
[010280],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,342,408,652",,,,,"322,921,648","286,401,333",,,,,,,,,,,,,,,,,,,,,"2,586,815,149",,,,,,,,,,,,,,,,,,,,,,29,,,"23,658,077,829",,,,,,"292,584,158","137,655,447","3,929,223,801","69,321,329",,,,"1,154,678,927","1,224,000,256",,,"27,587,301,630",,,,,,,,,,,,,,,
[067390],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,825,681,757",,,,,"257,227,948","191,882,325",,,,,,,,,,,,,,,,,,,,,"1,740,492,863",,,,,,,,,,,,,,,,,,,,,,44,,,"28,385,696,202",44,,,,,"909,403,704","59,813,271","3,566,174,620","344,454,206",,,,"696,982,741","1,041,436,947",,,"31,951,870,822",,,,,,,,,,,,,,,
[099190],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,903,607,346",,,,,"3,085,631,834","65,250,712",,,,,,,,,,,,,,,,,,,,,"9,884,223,806",,,,,,,,,,,,,"180,036,230",,,,,,,,,522,,,"22,322,518,796",521,,,,,"734,354,760","-222,733,976","16,787,831,152","1,982,812,459",,,,"7,164,123,503","9,146,935,962",,,"39,110,349,948",,,,,,,,,,,,,,,
[032080],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,683,830,850,000,000",,,,,"384,626,187,000,000","231,667,454,000,000",,,,,,,,,,,,,,,,,,,,,"2,021,432,164,000,000",,,,,,,,,,,,,,,,,,,,,,84,,,"9,891,091,694,000,000",81,,,,,"86,527,837,000,000","285,620,472,000,000","3,705,263,014,000,000","318,966,610,000,000",,,,"1,716,915,608,000,000","2,035,882,218,000,000",,,"13,596,354,708,000,000",,,,,,,,,,,,,,,
[011090],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"658,542,306",,,,,"404,436,590","104,831,826",,,,,,,,,,,,,,,,,,,,,"9,085,544,658",,,,,,,,,,,,,,,,,,,,,,12,,,"114,139,145,891",,,,,,"160,736,442","28,098,710","9,744,086,964","189,047,550",,,,"636,461,788","825,509,338",,,"123,883,232,855",,,,,,,,,,,,,,,
[031330],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,996,857,057",,,,,"1,557,056,103","1,355,393,040",,,,,,,,,,,,,,,,,,,,,"5,666,096,713",,,,,,,,,,,,,,,,,,,,,,62,,,"292,597,545,425",62,,,,,"1,266,540,120","73,012,568","14,662,953,770","1,868,401,048",,,,"6,136,591,520","8,004,992,568",,,"307,260,499,195",,,,,,,,,,,,,,,
[060540],,,"1,998,996",0,"50,560,053","5,328,181",,,,"1,509,281,953",,,"128,934,973",,"491,583,036","172,788,828","318,794,208",,"1,380,346,980",,"10,814,796",0,,0,"15,429,686",,"41,125,134",,,,"4,210,000",,,,,,,,,,,,,"223,875,161","-250,420,231",,,,"1,814,060",,,,,"19,154,264",0,"38,082,388",,,,,,,,,0,"47,203,268",,,,,0,,,"670,940","944,029",,,"903,203,954","238,122,823",,,,"670,940","944,029",,,"13,338,268","301,122","16,433,000","459,092",,,,"244,224,190",,"340,522,000","429,259,456",,"2,576,158,335","174,200,658",,,"4,339,702","12,717,164","686,095,038","-1,050,140","13,369,235","19,765,930","9,270,991","36,206,083",,,,,,,,,,,,,,,,,27,,,"2,000,864,989",27,,,,,"47,203,268","13,351,378","1,589,298,992","151,093,988",,,,"717,984,987","869,078,975",,,"3,590,163,981",,,"2,820,382,525",,"769,781,456",,,,,,,,,,
[056190],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,360,560,656",,,,,"5,043,061,915","1,716,464,860",,,,,,,,,,,,,,,,,,,,,"18,800,019,368",,,,,,,,,,,,,,,,,,,,,,"1,051",,,"169,515,818,767",,,,,,"22,245,045","2,643,385,025","62,160,580,024","13,471,607,307",,,,"35,836,690,384","49,308,297,691",,,"231,676,398,791",,,,,,,,,,,,,,,
[080000],,,,"879,612,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-160,052,243",,,,,,,,,,,,"204,244,771",,,,,,,,,,,,,,,,,"1,427,539,927",,,,,"4,539,788,614",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,365,846,022",,,,,,,,,,,"-2,318,111,826",,,,,,,,,,"1,058,693,935",50,,,"15,252,140,517",50,,,,,,"-2,412,349,448","7,905,634,636","468,036,616",,,,"1,659,402,550","2,127,439,166",,,"23,157,775,153",,,,,,,,,,,,,,,
[005850],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"190,391,804",,,,,"1,725,821,416","1,495,048,028",,,,,,,,,,,,,,,,,,,,,"12,491,130,189",,,,,,,,,,,,,,,,,,,,,,181,,,"158,108,298,282",,,,,,"-167,300,423","6,759,773,096","12,681,521,993","1,214,123,012",,,,"6,134,115,699","7,348,238,711",,,"170,789,820,275",,,,,,,,,,,,,,,
[012750],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,977,272,745",,,,,"4,495,686,774","5,076,253,079",,,,,,,,,,,,,,,,,,,,,"88,980,283,064",,,,,,,,,,,,,,,,,,,,,,"1,057",,,"375,151,123,859","1,057",,,,,"34,474,197","1,537,709,256","135,957,555,809","12,172,952,283",,,,"35,726,989,216","47,899,941,499",,,"511,108,679,668",,,,,,,,,,,,,,,
[123700],,,"32,681,057","-56,872,097","271,503,823","11,506,847",,,,,,,,,"15,328,584,720","2,693,485,623","12,635,099,097",,,,"56,248,295",,0,"3,000,000","71,588,358",,"16,296,954",,,"221,447,036","94,021,139","-305,443,890","248,837,825","675,145,274",,,,,,,,,0,,,,,,,,,,0,"23,686,866",0,"158,144,454",,"5,576,650",0,"266,603,350",,0,,"2,000",,,,,,,,,"8,084,894","260,013,430","36,739,701",,,"-3,674,076,158","739,581,053",,,,"884,129,289","306,345,051","51,598,295",,"185,722,268","8,497,296","25,500,000","8,635,858",,,,,,"3,386,189,500","11,107,230,368",,,"928,814,783",,"35,769,492","3,410,073","46,833,603","2,838,911,306","6,086,080","38,530,215",,"9,739,118",,,,,,,,,,,,,,,,,,178,,,"15,328,584,720",,,,,,0,"158,144,454","-835,164,852","1,292,673,170",,,,"-2,781,540,428","-2,938,147,466",,,"14,493,419,868",,,,,"14,493,419,868",,,,,,,,,,
[025530],,,"171,654",,"55,294,253","241,971",,,,,,,,,,,,,,"-28,650,669","56,664,902",,"8,062,825",,"9,212,860",,"511,560",,,,0,,0,,,0,,,,,,,,,,,,"-22,075,671",,,,,,"12,790,373","77,299,724","255,198,802",,,,"1,847,780",,,,,,,,,,"30,655,997",,,,"482,080",0,,,"1,028,484,798",,,,,"-13,530,766","3,853,108",,,"27,502,317",0,"9,780,000",,,"194,176,044",,"297,030,000",,,,,,"229,049,158",,,"2,185,679","22,525,864","224,124,000","35,000","6,893,061","5,733,186","6,104,278",,,,,,,,,,,,,,,,"761,402,754","-220,572,116",85,85,,0,85,85,,,,"77,299,724","255,198,802","1,252,608,798","-38,778,801",,,,"1,150,221,201","1,189,000,002",,,"1,252,608,798",,,"1,252,608,798",,,,,,,,,,,,
[069510],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,914,022,663",,,,,"2,262,589,382","379,031,700",,,,,,,,,,,,,,,,,,,,,"7,876,158,319",,,,,,,,,,,,,,,,,,,,,,434,434,,"44,528,991,618",,,,,,"271,366,165","7,436,005","9,790,180,982","116,783,811",,,,"3,650,433,996","3,533,650,185",,,"54,319,172,600",,,,,,,,,,,,,,,
[050760],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"321,573,643",,,,,"-40,592,255","191,224,300",,,,,,,,,,,,,,,,,,,,,"2,782,570,596",,,,,,,,,,,,,"5,120,533",,,,,,,,,-24,,,"30,358,710,996",-24,,,,,"302,669,305","-58,112,204","3,128,984,983","29,041,558",,"-78,843,710",,"-373,789,156","-344,747,598",,,"33,487,695,979",,,,,,,,,,,,,,,
[003800],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,954,268,459",,,,,"722,961,312","740,652,786",,,,,,,,,,,,,,,,,,,,,"23,917,682,669",,,,,,,,,,,,,,,,,,,,,,625,,,"23,549,715,617",625,,,,,"37,151,858","926,208,651","30,871,951,128","1,798,018,459",,,,"6,027,615,319","7,825,633,778",,,"54,421,666,745",,,,,,,,,,,,,,,
[089530],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,874,334,305","3,148,830,544",,,,,"28,223,159","96,206,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,023,164,849",,,,,,,,,37,,,,37,,,,,"641,318,517","9,254,189",,,,,,"2,448,782,616","2,448,782,616",,,"31,685,391,067",,,,,,,,,,,,,,,
[037950],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,665,642,766",,,,,"-238,133,528","-210,122,155",,,,,,,,,,,,,,,,,,,,,"1,462,038,898",,,,,,,,,,,,,,,,,,,,,,19,,,"8,459,474,062",19,,,,,"5,978,663","36,023,622","3,127,681,664",,,,,"1,667,676,352","1,667,676,352",,,"11,587,155,726",,,,,,,,,,,,,,,
[111770],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,558,299,177",,,,,"2,436,313,163","3,520,459,736",,,,,,,,,,,,,,,,,,,,,"18,603,987,602",,,,,,,,,,,,,,,,,,,,,,560,,,"304,858,888,996",,,,,,"1,278,187,849","1,095,834,653","52,162,286,779","7,737,405,014",,,,"24,554,394,394","32,291,799,408",,,"357,021,175,775",,,,,,,,,,,,,,,
[009970],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"873,840,378",,,,,"78,998","13,570,097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,"81,321,792",,"201,667,636",,,,"740,003,435","941,671,071",,,,,,,,,,,,,,,,,,
[036180],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"152,338,668",,,,,"5,958,205","21,532",,,,,,,,,,,,,,,,,,,,,"1,824,558,876",,,,,,,,,,,,,,,,,,,,,,8,,,"6,939,238,314",8,,,,,"1,874,232","95,013,768","1,976,897,544","116,045,758",,,,"135,369,119","251,414,877",,,"8,916,135,858",,,,,,,,,,,,,,,
[036000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"238,539,390",,,,,"1,722,198,551","138,215,604",,,,,,,,,,,,,,,,,,,,,"2,253,734,705",,,,,,,,,,,,,"34,928,722",,,,,,,,,"1,521",,,"2,459,199,012",,,,,,"12,120,924","139,268,150","2,492,274,095","9,610,808,943",,,,"35,043,328,831","44,654,137,774",,,"4,951,473,107",,,,,,,,,,,,,,,
[039830],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,032,088,272",,,,,"208,253,704","172,156,579",,,,,,,,,,,,,,,,,,,,,"4,245,948,032",,,,,,,,,,,,,,,,,,,,,,103,,,"20,688,295,481",,,,,,"318,721,809","-58,234,530","6,278,036,304","639,810,905",,,,"1,051,418,153","1,691,229,058",,,"26,966,331,785",,,,,,,,,,,,,,,
[010470],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,924,139,450",,,,,"4,025,050","265,416",,,,,,,,,,,,,,,,,,,,,"8,804,636,299",,,,,,,,,,,,,,,,,,,,,,130,,,"18,868,967,635",127,,,,,"17,297,491","49,870,687","10,728,775,749","513,643,737",,,,"1,446,828,543","1,960,472,280",,,"29,597,743,384",,,,,,,,,,,,,,,
[048260],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,408,188,644",,,,,"396,592,574","265,645,304",,,,,,,,,,,,,,,,,,,,,"24,140,612,358",,,,,,,,,,,,,"86,604,308",,,,,,,,,115,,,"42,984,114,031",,,,,,"4,293,532,713","-785,359,188","36,635,405,310","1,818,392,940",,"-4,035,183,805",,"1,606,667,268","3,425,060,208",,,"79,619,519,341",,,,,,,,,,,,,,,
[037400],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-266,477,455",,,,,"37,094,812","6,562,587",,,,,,,,,,,,,,,,,,,,,"1,743,234,441",,,,,,,,,,,,,,,,,,,,,,-15,,,"4,054,871,422",,,,,,"132,120,813","20,843,472","1,476,756,986",0,,,,"-347,222,571","-347,222,571",,,"5,531,628,408",,,,,,,,,,,,,,,
[136540],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,328,234,063",,,,,"22,326,092","4,064,160",,,,,,,,,,,,,,,,,,,,,"5,069,726,091",,,,,,,,,,,,,,,,,,,,,,164,,,"8,112,960,922",164,,,,,"566,073,386","269,003,075","7,397,960,154","295,936,752",,,,"1,753,488,932","2,049,425,684",,,"15,510,921,076",,,,,,,,,,,,,,,
[011320],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,067,234,026",,,,,"1,483,847,093","50,081,871",,,,,,,,,,,,,,,,,,,,,"4,744,373,545",,,,,,,,,,,,,,,,,,,,,,-120,,,"45,675,400,098",,,,,,"600,201,197","80,088,681","1,677,139,519","32,152,817",,,,"-2,185,734,137","-2,153,581,320",,,"47,352,539,617",,,,,,,,,,,,,,,
[056090],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,187,076,440",,,,,"2,894,522","-434,411",,,,,,,,,,,,,,,,,,,,,"2,464,019,660",,,,,,,,,,,,,,,,,,,,,,-198,-198,0,"2,398,803,087",,,,,,"374,187,531","32,267,174","1,276,943,220","-15,106,415",,,,"-1,510,561,449","-1,525,667,864",,,"3,675,746,307",,,,,,,,,,,,,,,
[084370],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,170,770,244",,,,,"-73,773,045","752,358,261",,,,,,,,,,,,,,,,,,,,,"6,382,298,539",,,,,,,,,,,,,,,,,,,,,,315,,,"14,009,478,458",315,,,,,,"499,853,103","15,553,068,783","1,784,642,966",,,,"7,059,849,075","8,844,492,041",,,"29,562,547,241",,,,,,,,,,,,,,,
