,dart_AdvertisingExpenses,dart_AllowanceForOtherDoubtfulAccounts,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsArisingFromDifferenceBetweenPreviousAmortisedCostAndFairValueOfFinancialAssetsReclassifiedOutOfAmortisedCostIntoFairValueThroughProfitOrLossMeasurementCategory,dart_GainsForeignCurrencyTransactions,dart_GainsFromCommission,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfIntangibleAssets,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossDeterminedInAccordanceWithIFRS9,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_ImpairmentLossesOnAssociates,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,dart_LossesOnDisposalOfFairValueFinancialAsset,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnSaleOfInvestmentsInSubsidiaries,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_PersonalExpense,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts,dart_SalariesWages,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WarrantyExpenses,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_Revenue,entity_RevenueFromRenderingOfServices,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromDividends,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromRoyalties,ifrs-full_RevenueFromSaleOfGoods
[066900],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"830,424,363",,,,,"384,263,697","22,755,403",,,,,,,,,,,,,,,,,,,,,"2,753,754,911",,,,,,,,,,,,,,,,,,,,,,,,44,,,"61,491,476,128",44,,,,,"726,268,983","493,508,415","3,584,179,274","140,885,514",,,,"818,286,575","959,172,089",,,"65,075,655,402",,,,,
[171010],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,108,241,278",,,,,"91,619,236","207,203,367",,,,,,,,,,,,,,,,,,,,,"682,679,676",,,,,,,,,,,,,,,,,,,,,,,,50,,,"7,645,588,072",50,,,,,"306,269,357","28,613,651","1,790,920,954","141,314,000",,,,"573,687,441","715,001,441",,,"9,436,509,026",,,,,
[267980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,880,393","435,672,985","140,088,208",,,,,,"722,980,675","545,671,073",,,,,,,,,,,,,"43,052,082","36,082,683","7,337,257",,,,,,,"20,712,717,587",,,,,"1,393,779,801","670,765,051",,,,,,,,,,,,,,,,,,,,,"71,155,771,389",,,,,,,,,,,,,,,,,,,,,,,,"2,194",,,"245,370,094,970","2,194",,,,,"809,452,697","1,202,312,659","91,868,488,976","4,624,673,291",,,,"17,203,919,008","21,828,592,299",,,"337,238,583,946",,,,,
[005990],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,522,672",,,,,,"13,496,241","27,034,865",,,,,,,,,,,,,,,0,,,,,,"2,420,790,437","3,055,552,697",,,,,"211,014,947","54,603,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,,,,233,,,,,"13,496,241","116,557,537",,"386,121,682",,,,"2,928,904,141","3,315,025,823",,,"5,476,343,134",,,,,
[067280],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,,,"10,856,049,536","3,367,120,940",,,,,,,,,,,,"46,766,528,769",,,,,,,,"15,187,958,421",,,,,,,,,"61,954,487,190",,,,,
[041920],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"999,701,712",,,,,"281,067,739","23,713,389",,,,,,,,,,,,,,,,,,,,,"2,254,216,736",,,,,,,,,,,,,,,,,,,,,,,,146,,,"6,706,462,527",146,,,,,"6,699,620","22,202,562","3,253,918,448","22,228,529",,,,"1,250,330,475","1,272,559,004",,,"9,960,380,975",,,,,
[017180],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,248,725",,,,,"459,797,697","26,740,028",,,,,,,,,,,,,,,,,,,,,"16,609,989,402",,,,,,,,,,,,,,,"1,032,300,859",,,,,,,,,-55,,,"18,580,092,191",,,,,,"947,832,032","155,724,849","16,681,238,127","26,021,485",,,,"-1,346,123,133","-1,320,101,648",,,"35,261,330,318",,,,,
[009680],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,691,031,477",,,,,"154,658,616","14,999,096",,,,,,,,,,,,,,,,,,,,,"3,257,475,257",,,,,,,,,,,,,,,,,,,,,,,,127,,,"40,327,934,887",,,,,,"19,624,625","1,663,488,928","4,948,506,734","675,037,477",,,,"2,799,517,823","3,474,555,300",,,"45,276,441,621",,,,,
[033920],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,482,468,363",,,,,"34,565,495,976","2,303,566,539",,,,,,,,,,,,,,,,,,,,,"18,518,593,197",,,,,,,,,,,,,,,,,,,,,,,,,,,"24,657,020,991",,,,,,,"136,198,708","17,036,124,834","7,411,781,417",,,,"23,503,878,365","30,915,659,782",,,"41,693,145,825",,,,,
[018700],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,100,408,307","-557,379,282",,,,,"8,280,001","17,184,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24,,,,-24,,,,,"120,543,342","300,865,347",,,,,,"-385,962,183","-385,962,183",,,"543,029,025",,,,,
[015350],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,941,126,614",,,,,"480,743,507","41,065,381",,,,,,,,,,,,,,,,,,,,,"25,870,736,652",,,,,,,,,,,,,,,"2,673,905,130",,,,,,,,,"2,364",,,"302,690,912,710",,,,,,"55,664,021","992,904,486","52,811,863,266","7,351,068,412",,,,"23,640,881,923","30,991,950,335",,,"355,502,775,976",,,,,
[030790],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,002,476,814",,,,,"858,172,756","703,311,890",,,,,,,,,,,,,,,,,,,,,"2,546,270,782",,,,,,,,,,,,,,,,,,,,,,,,"-1,295",,,"16,922,698,776","-1,295",,,,,"3,140,255,831","152,276,811","543,793,968",,,,,"-4,835,594,968","-4,835,594,968",,,"17,466,492,744",,,,,
[065450],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"677,246,614",,,,,"9,264,618","38,893,836",,,,,,,,,,,,,,,,,,,,,"1,410,730,755",,,,,,,,,,,,,,,,,,,,,,,,23,,,"10,357,686,524",23,,,,,"289,832,866","313,174,370","2,087,977,369","120,979,718",,0,,"549,979,182","670,958,900",,,"12,445,663,893",,,,,
[018260],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,484,013,692","3,870,585,615",,,,,,,,,"1,395,452,840","12,293,042,822",,,,,,,,,,"1,066,449,644","473,068,305",,,,,,,,,,,"147,843,562,820",,,,,"20,074,037,447","2,810,218,264",,,,,,,,,,,,,,,,,,,,,"144,388,508,994",,,,,,,,,,,,,,,,,,,,,,,,"1,618",,,"955,360,933,457","1,618",,,,,"2,934,970,789","17,647,642,129","292,232,071,814","54,655,801,669",,,,"125,164,251,674","179,820,053,343","125,164,251,674",,"1,247,593,005,271",,,,,
[028050],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,983,219,064","2,586,986,428",,,,,,,,,"3,132,658,807","1,000,290,811",,,,,,,,,,"2,661,834,906","3,065,961,834",,,,,,,,,,,"67,191,556,449",,,,,"97,216,369,016","106,971,711,103",,,,,,,,,,,,,,,,,,,,,"81,237,304,875",,,,,,,,,,,,,,,,,,,,,,,,243,,,"892,797,844,150",,,,,,"8,860,455,547","8,570,496,303","148,428,861,324","9,423,790,095",,,,"47,722,465,023","57,146,255,118",,,"1,041,226,705,474",,,,,
[005930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,896,923,000,000",,,,,"255,526,000,000","184,836,000,000",,,,,,,,,,,,,,,,,,,,,"6,689,249,000,000",,,,,,,,,,,,,,,"456,280,000,000",,,,,,,,,455,,,"26,452,223,000,000",455,,,,,,"643,068,000,000","10,586,172,000,000","1,065,773,000,000",,,,"3,088,628,000,000","4,154,401,000,000","3,088,628,000,000",,"37,038,395,000,000",,,,,
[010140],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-82,419,943,062",,,,,"439,022,413,324","455,342,784,319",,,,,,,,,,,,,,,,,,,,,"77,200,165,315",,,,,,,,,,,,,,,,,,,,,,,,,-195,-195,"1,348,580,861,591",,-195,-195,,,"58,640,649,811","42,940,860,804","-5,219,777,747","3,520,518,690",,,,"-117,960,621,754","-114,440,103,064",,,"1,343,361,083,844",,,,,
[002170],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,246,830,833",,,,,"9,719,733","25,931,959",,,,,,,,,,,,,,,,,,,,,"1,067,526,578",,,,,,,,,,,,,,,,,,,,,,,,"2,549",,,"33,201,241,285",,,,,,"280,760,142","2,055,422,729","9,314,357,411","2,508,850,215",,,,"7,496,430,979","10,005,281,194",,,"42,515,598,696",,,,,
[001880],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,771,057,795",,,,,"1,006,526,993","987,925,247",,,,,,,,,,,,,,,,,,,,,"8,778,369,751",,,,,,,,,,,"1,969",,,,,,,,,,,,,,,,"260,271,276,989",,,,,,"864,419,898","2,565,063,530","44,549,427,546","7,598,365,738",,,,"29,891,937,435","37,490,303,173",,,"304,820,704,535",,,,,
[004450],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,988,503,750",,,,,"302,935,001","114,000,000",,,,,,,,,,,,,,,,,,,,,"2,548,861,490",,,,,,,,,,,,,,,"-23,272,566",,,,,,,,,"1,244",,,"20,698,861,634","1,243",,,,,"72,200,146","888,515,209","4,537,365,240","684,122,417",,,,"2,286,358,831","2,970,481,248",,,"25,236,226,874",,,,,
[101000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-147,057,889",,,,,"703,665,072","158,352,158",,,,,,,,,,,,,,,,,,,,,"964,349,696",,,,,,,,,,,,,,,,,,,,,,,,2,,,"8,265,629,448",2,,,,,"297,483,485","5,098,829","817,291,807",,,,,"105,870,369","105,870,369",,,"9,082,921,255",,,,,
[003100],,,,,,,,,,,,,"40,749,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,696,114,137",,,,,"1,272,175,477","355,407,673",,,,,,,,,,"584,211,428",,,,,,,,,,,"1,795,471,484",,,,,,,,"11,333,159,030",,,,,,,"871,042",,,,,,"16,282,153,780",,,638,,,"11,373,908,545",638,,,,,"433,706,100","104,489,107","5,492,456,663","441,639,040",,,,"3,842,025,908","4,283,664,948","3,842,025,908",,"16,866,365,208",,,,,
[017510],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,118,656",,,,,"166,573,320","1,624,749",,,,,,,,,,,,,,,,,,,,,"381,176,251",,,,,,,,,,,,,,,,,,,,,,,,37,,,"2,327,056,103",37,,,,,"592,025,911","934,039,727","476,294,907","44,483,721",,,,"557,597,322","602,081,043",,,"2,803,351,010",,,,,
[091090],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"389,819,264",,,,,"801,478,405","301,899,902",,,,,,,,,,,,,,,,,,,,,"3,451,761,507",,,,,,,,,,,,,,,"635,209,846",,,,,,,,,1,,,"29,350,587,290",1,,,,,"1,257,943,212","66,887,162","4,476,790,617","-358,181,033",,"-12,309,414",,"44,213,336","-313,967,697",,,"33,827,377,907",,,,,
[021820],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,418,697,473",,,,,"138,750,152","25,445,072",,,,,,,,,,,,,,,,,,,,,"1,645,185,777",,,,,,,,,,,,,,,,,,,,,,,,-39,,,"8,089,050,334",,,,,,"345,301,307","1,103,493,540","226,488,304","-153,304,198",,,,"-393,895,962","-547,200,160",,,"8,315,538,638",,,,,
[108860],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,981,707,062",,,,,"45,375,996","60,104,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,-95,,,"4,597,239,456",-95,,,,,"132,297,390","36,214,984",,,,,,"-2,092,517,802","-2,092,517,802",,,"2,615,532,394",,,,,
[068270],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,855,651,662",,,,,"4,287,324,389","846,720,400",,,,,,,,,,,,,,,,,,,,,"47,522,876,989",,,,,,,,,,,,,,,,,,,,,,,,474,,,"68,128,438,543",471,,,,,"1,859,523,689","4,502,093,741","123,378,528,651","18,753,629,499",,,,"63,185,196,204","81,938,825,703",,,"191,506,967,194",,,,,
[086980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,141,899,183",,,,,"498,003,144","157,665,134",,,,,,,,,,,,,,,,,,,,,"2,280,431,956",,,,,,,,,,,,,,,,,,,,,,,,29,,,"26,064,019,227",29,,,,,"36,410,796","1,238,351,709","3,422,331,139","863,426,987",,,,"1,820,751,119","2,684,178,106",,,"29,486,350,366",,,,,
[050960],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"155,088,869",,,,,"5,771,155",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,"2,786,914,266",,,,,,"63,902","185,244,063",,"25,298,764",,,,"320,741,421","346,040,185",,,"2,942,003,135",,,,,
[033790],"309,000,000",0,"1,256,768","164,957,540","105,408,337","2,119,931","571,000",,,,,,,,,,,,,"47,785,338",,,,"61,368,431",,"17,981,135",,,"3,400,300",,,,,,,,,,,"302,886","31,194,285",,,,,,,,"1,894,735","205,257,340","155,364,595",,,0,0,"217,672,814",,,,"1,000","143,179",0,,,,,,,"12,186,815","578,750",,,"-2,610,356,493","1,496,943,340",,,,"12,186,815","218,252,564",,,"44,691,573","1,089,401",,"1,860,000",,,,,,,,,,0,"290,362,655",,"5,529,298","31,291,009","2,650,244,364","1,640,000","34,476,054","18,175,965","8,441,554",,,,,,,,"3,900,000","335,866,180",,"-111,176,683",,,,,,,,,-140,,,"1,020,971,409",-140,,,,,"211,108,019","561,111,361","39,887,871",0,,,,"-2,466,418,900","-2,466,418,900",,,"1,060,859,280",,,,,
[131100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,094,929,836",,,,,"319,885,258","1,381,894,019",,,,,,,,,,,,,,,,,,,,,"2,305,298,509",,,,,,,,,,,,,,,,,,,,,,,,-125,-125,,"7,693,491,098",,,,,,"1,159,854,213","1,264,134,894","210,368,673",,,"-447,527,772",,"-3,500,185,688","-3,500,185,688","-3,500,185,688",,"7,903,859,771",,,,,
[004970],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,925,672,176",,,,,"4,866,601,708","779,544,295",,,,,,,,,,,,,,,,,,,,,"5,705,465,942",,,,,,,,,,,,,,,,,,,,,,,,566,,,"85,212,876,776",,,,,,"80,259,212","2,875,448,013","10,631,138,118","2,755,386,998",,,,"9,052,531,392","11,807,918,390",,,"95,844,014,894",,,,,
[065350],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,576,224,776",,,,,"708,315,758","23,120,606",,,,,,,,,,,,,,,,,,,,,"3,508,590,751",,,,,,,,,,,,,,,0,,,,,,,,,166,166,0,"34,135,061,215",161,161,0,,,"747,496,894","175,356,142","4,014,404,206","118,248,529",,,,"3,571,030,647","3,689,279,176","3,571,030,647",0,"38,149,465,421",,,,,
[011930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400,465,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"-2,309,162,199",,"238,178,163",,,,,,,,,,"58,253,389,763",,,,,,,,"9,128,281,076","549,587,741",,,,"-2,309,162,199","-1,759,574,458",,0,"67,381,670,839",,,,,
[004170],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,382,357,314",,,,,"796,772,507,646","2,310,622,196",,,,,,,,,,,,,,,,,,,,,"252,359,512,004",,,,,,,,,,,,,,,,,,,,,,,,"67,997",,,"69,256,660,645","67,997",,,,,"23,238,019,458","40,804,824,725","305,741,869,318","196,565,770,711",,,,"668,845,277,320","865,411,048,031",,,"374,998,529,963",,,,,
[108320],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,645,291,553",,,,,"829,502,628","278,800,546",,,,,,,,,,,,,,,,,,,,,"38,060,339,578",,,,,,,,,,,,,,,,,,,,,,,,172,,,"137,660,749,717",172,,,,,"77,030,868","1,047,838,615","39,705,631,131","370,292,126",,,,"2,796,509,256","3,166,801,382",,,"177,366,380,848",,,,,
[003410],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,082,522,642",,,,,"9,422,837,584","7,861,363,009",,,,,,,,,,,,,,,,,,,,,"22,077,036,280",,,,,,,,,,,109,,,,,,,,,,,,,99,,,"188,268,293,179",99,,,,,"5,262,423,875","40,041,645,142","37,159,558,922","1,317,493,443",,,,"50,105,725,041","51,423,218,484",,,"225,427,852,101",,,,,
[010280],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,851,916",,,,,"200,049,215","19,655,513",,,,,,,,,,,,,,,,,,,,,"2,595,303,173",,,,,,,,,,,,,,,,,,,,,,,,8,,,"23,431,941,023",,,,,,"28,712,325","147,391,065","2,627,155,089","1,428,238",,,,"329,496,120","330,924,358",,,"26,059,096,112",,,,,
[015540],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,0,,,,,,,,,,"-1,923,820,171",,,,,"114,006,794",0,,,,,,,,,,,,,,,,,,,,,"1,958,224,163",,,,,,,,,,,,,,,"11,850,164",,,,,,,,,-403,,,"1,202,072,398",,,,,,"421,108,106","21,697,855","34,403,992",0,,,,"-2,221,073,792","-2,221,073,792",,,"1,236,476,390",,,,,
[067390],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"736,787,283",,,,,"2,104,622,568","834,247,063",,,,,,,,,,,,,,,,,,,,,"1,706,922,011",,,,,,,,,,,,,,,,,,,,,,,,65,,,"28,288,255,384",65,,,,,"1,032,567,500","307,255,765","2,443,709,294","255,771,272",,,,"1,026,079,781","1,281,851,053",,,"30,731,964,678",,,,,
[099190],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,814,519,786",,,,,"1,068,643,888","627,619,379",,,,,,,,,,,,,,,,,,,,,"8,499,081,440",,,,,,,,,,,,,,,"-576,110,790",,,,,,,,,384,,,"20,575,325,275",383,,,,,"210,549,185","94,715,433","15,313,601,226","1,292,133,940",,,,"5,271,465,813","6,563,599,753",,,"35,888,926,501",,,,,
[032080],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"563,776,041",,,,,"1,191,528,924","982,174,576",,,,,,,,,,,,,,,,,,,,,"2,199,897,160",,,,,,,,,,,,,,,,,,,,,,,,77,,,"8,379,906,425",75,,,,,"115,085,542","1,101,174,925","2,763,673,201","166,935,780",,,,"1,592,283,992","1,759,219,772",,,"11,143,579,626",,,,,
[158430],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"844,310,037",,,,,"139,973,719","32,440",,,,,,,,,,,,,,,,,,,,,"2,139,230,311",,,,,,,,,,,,,,,,,,,,,,,,308,,,"3,827,759,378",,,,,,"59,590,808","65,298,413","2,983,540,348","128,125,890",,,,"861,833,031","989,958,921",,,"6,811,299,726",,,,,
[011090],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"503,383,151",,,,,"533,204,954","33,868,890",,,,,,,,,,,,,,,,,,,,,"8,545,188,595",,,,,,,,,,,,,,,,,,,,,,,,13,,,"102,503,112,256",,,,,,"172,798,822","56,605,901","9,048,571,746","193,162,264",,,,"693,364,030","886,526,294",,,"111,551,684,002",,,,,
