,dart_AdvertisingExpenses,dart_AllowanceForOtherDoubtfulAccounts,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromCommission,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfIntangibleAssets,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossDeterminedInAccordanceWithIFRS9,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_ImpairmentLossesOnAssociates,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesFromFinancialGuaranteeFinanceExpense,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnSaleOfInvestmentsInSubsidiaries,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_PersonalExpense,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts,dart_SalariesWages,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_RevenueFromRenderingOfServices,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromDividends,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromRoyalties,ifrs-full_RevenueFromSaleOfGoods
[005990],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,856,954","138,034,669",,,,,,,,,,,,,,"84,624,064",,,,,,"2,541,809,452","-90,856,681",,,,,"199,462,610","815,600,266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"157,501,808",,,,,,,,,,,,-32,,,,-32,,,,,"97,481,018","295,536,477",,,"-112,974,948",,,,"-395,963,930","-508,938,878",,,"2,450,952,771",,,,,
[067280],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548,,,"11,059,981,467","939,909,556",,,,,,,,,,,,,"59,144,962,581",,,,,,,,,"15,209,597,247",,,,,"3,225,492,937",,,,"74,354,559,828",,,,,
[041920],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,197,661,244",,,,,"546,848,188","-32,709,012",,,,,,,,,,,,,,,,,,,,,"2,132,580,759",,,,,,,,,,,,,,,,,,,,,,,,283,,,"7,753,206,327",283,,,,,"1,047,414","14,866,184",,"4,330,242,003","364,206,651",,,,"2,426,830,563","2,791,037,214",,,"12,083,448,330",,,,,
[017180],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"147,020,539",,,,,"234,600,919","39,410,943",,,,,,,,,,,,,,,,,,,,,"17,910,360,348",,,,,,,,,,,,,,"549,520,345",,,,,,,,,,-58,,,"20,046,176,548",,,,,,"1,540,955,752","193,397,535",,"18,057,380,887",,,,,"-1,424,188,212","-1,973,708,557",,,"38,103,557,435",,,,,
[009680],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,813,286,088",,,,,"339,678,763","3,555,812,608",,,,,,,,,,,,,,,,,,,,,"3,115,057,321",,,,,,,,,,,,,,,,,,,,,,,,54,,,"43,156,262,860",,,,,,"30,381,139","1,847,954,760",,"6,928,343,409","1,221,628,307",,,,"1,193,097,557","2,414,725,864",,,"50,084,606,269",,,,,
[033920],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,810,402,309",,,,,"-1,722,969,883","1,418,103,628",,,,,,,,,,,,,,,,,,,,,"16,455,583,210",,,,,,,,,,,,,,,,,,,,,,,,,,,"21,383,467,150",,,,,,,"19,759,627",,"12,645,180,901","-1,403,400,390",,,,"-5,528,315,803","-6,931,716,193",,,"34,028,648,051",,,,,
[015350],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,213,820,046",,,,,"425,998,670","5,226,831,085",,,,,,,,,,,,,,,,,,,,,"25,515,878,338",,,,,,,,,,,,,,"-1,632,365,174",,,,,,,,,,-315,,,"123,778,906,477",,,,,,"57,144,736","870,836,834",,"26,729,698,384","-1,256,815,173",,,,"-3,148,870,272","-4,405,685,445",,,"150,508,604,861",,,,,
[030790],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-919,806,899",,,,,"555,335,316","1,069,989,308",,,,,,,,,,,,,,,,,,,,,"962,180,275",,,,,,,,,,,,,,,,,,,,,,,,"-2,004","-1,062",-942,"1,730,784,220","-2,004","-1,062",-942,,,"2,909,575,010","43,027,071",,"42,373,376",,,,,"-8,112,742,116","-4,301,008,830","-4,301,008,830","-3,811,733,286","1,773,157,596",,,,,
[065450],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"779,762,598",,,,,"5,537,761","89,431,530",,,,,,,,,,,,,,,,,,,,,"1,172,111,551",,,,,,,,,,,,,,,,,,,,,,,,11,,,"9,363,401,668",11,,,,,"385,910,917","29,169,359",,"1,951,874,149","54,682,926",,0,,"284,444,345","339,127,271",,,"11,315,275,817",,,,,
[018260],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,777,839,569","1,146,136,506",,,,,,,,,"1,299,368,350","11,923,150,801",,,,,,,,,"2,697,287,424","-3,982,159,038",,,,,,,,,,,"132,294,839,699",,,,,"-7,877,258,859","22,934,483,010",,,,,,,,,,,,,,,,,,,,,"159,002,904,190",,,,,,,,,,,,,,,,,,,,,,,,"1,122",,,"916,611,294,399","1,122",,,,,"14,496,736","19,847,126,876",,"291,297,743,889","34,523,130,221",,,,"86,792,597,749","121,315,727,970","86,792,597,749",,"1,207,909,038,288",,,,,
[028050],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,197,362,739","5,836,562,062",,,,,,,,,"1,056,070,982","1,191,685,167",,,,,,,,,"6,153,399,090","4,421,203,991",,,,,,,,,,,"59,463,637,977",,,,,"130,361,811,110","135,979,577,289",,,,,,,,,,,,,,,,,,,,,"80,683,865,418",,,,,,,,,,,,,,,,,,,,,,,,203,,,"1,109,691,992,881",,,,,,"11,630,674,063","15,225,609,968",,"140,147,503,395","17,565,542,212",,,,"39,875,265,491","57,440,807,703",,,"1,249,839,496,276",,,,,
[005930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,665,967,000,000",,,,,"3,095,131,000,000","101,796,000,000",,,,,,,,,,,,,,,,,,,,,"6,802,955,000,000",,,,,,,,,,,,,,"977,630,000,000",,,,,,,,,,675,,,"32,735,989,000,000",675,,,,,,"1,104,785,000,000",,"9,468,922,000,000","1,200,567,000,000",,,,"4,585,890,000,000","5,786,457,000,000","4,585,890,000,000",,"42,204,911,000,000",,,,,
[010140],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-325,752,236,997",,,,,"585,645,978,115","706,222,569,031",,,,,,,,,,,,,,,,,,,,,"315,714,624,792",,,,,,,,,,,,,,,,,,,,,,,,,-980,-980,"1,925,510,637,810",,-980,-980,,,"238,707,635,156","85,123,374,384",,"-10,037,612,205","-8,112,411,331",,,,"-591,800,677,354","-599,913,088,685",,,"1,915,473,025,605",,,,,
[002170],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,778,276,561",,,,,"31,689,234","36,603,925",,,,,,,,,,,,,,,,,,,,,"1,183,680,945",,,,,,,,,,,,,,,,,,,,,,,,"3,750",,,"34,657,624,402",,,,,,"503,024,714","1,539,343,889",,"14,961,957,506","3,794,607,132",,,,"11,015,073,913","14,809,681,045",,,"49,619,581,908",,,,,
[004450],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,619,994,936",,,,,"477,910,336","26,000,014",,,,,,,,,,,,,,,,,,,,,"2,874,871,712",,,,,,,,,,,,,,,,,,,,,,,,"1,282",,,"22,565,579,581","1,281",,,,,"63,352,249","123,356,859",,"5,494,866,648","767,080,298",,,,"2,356,243,118","3,123,323,416",,,"28,060,446,229",,,,,
[101000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,927,439,715",,,,,"2,910,175,327","425,641,748",,,,,,,,,,,,,,,,,,,,,"1,335,261,786",,,,,,,,,,,,,,,,,,,,,,,,7,,,"5,502,354,145",9,,,,,"383,327,472","108,239,717",,"-592,177,929",,,,,"282,006,109","282,006,109",,,"4,910,176,216",,,,,
[003100],,,,,,,,,,,,,"32,416,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,302,101,423",,,,,"341,735,234","494,841,348",,,,,,,,,,"890,473,773",,,,,,,,,,,"2,700,125,647",,,,,,,"11,582,360,266",,,,,,,,,,,,,,"17,726,530,028",,,475,,,"11,614,776,731",475,,,,,"536,478,854","62,944,652",,"7,002,227,070","814,318,286",,,,"2,861,142,821","3,675,461,107",,,"18,617,003,801",,,,,
[017510],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"681,947,289",,,,,"174,877,633","58,541,048",,,,,,,,,,,,,,,,,,,,,"388,588,853",,,,,,,,,,,,,,,,,,,,,,,,42,,,"3,425,289,373",42,,,,,"422,213,490","365,786,192",,"1,070,536,142","97,234,337",,,,"644,622,239","741,856,576",,,"4,495,825,515",,,,,
[091090],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,864,523,645",,,,,"2,436,600,714","647,290,118",,,,,,,,,,,,,,,,,,,,,"3,634,827,319",,,,,,,,,,,,,,"753,416,763",,,,,,,,,,-31,,,"34,017,504,835",-31,,,,,"2,030,435,277","134,667,989",,"2,523,720,437","-53,241,139",,"-1,447,167",,"-1,919,186,365","-1,972,427,504",,,"36,541,225,272",,,,,
[021820],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-254,230,504",,,,,"131,860,348","3,528,030",,,,,,,,,,,,,,,,,,,,,"1,518,843,448",,,,,,,,,,,,,,,,,,,,,,,,81,,,"9,302,942,039",,,,,,"429,703,111","1,477,570,794",,"1,264,612,944","107,520,591",,,,"814,448,906","921,969,497",,,"10,567,554,983",,,,,
[108860],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"362,351,230",,,,,"128,554,714","73,117,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,"3,267,965,154",10,,,,,"225,850,035","33,179,679",,,0,,0,,"225,117,645","225,117,645",,,"3,630,316,384",,,,,
[068270],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,237,051,642",,,,,"4,951,916,881","3,932,874,529",,,,,,,,,,,,,,,,,,,,,"56,637,725,447",,,,,,,,,,,,,,,,,,,,,,,,445,,,"93,306,980,923",444,,,,,"-75,678,541","4,592,743,867",,"154,874,777,089","44,411,445,156",,,,"59,513,071,246","103,924,516,402",,,"248,181,758,012",,,,,
[086980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,795,774,903",,,,,"546,112,787","-9,873,577",,,,,,,,,,,,,,,,,,,,,"1,964,311,814",,,,,,,,,,,,,,,,,,,,,,,,31,,,"21,553,141,140",32,,,,,"32,606,248","235,405,430",,"3,760,086,717","594,404,009",,,,"1,960,156,440","2,554,560,449",,,"25,313,227,857",,,,,
[050960],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"385,992,283",,,,,"4,173,915","80,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,"2,898,671,809",,,,,,"478,333","178,349,297",,,"81,051,069",,,,"406,986,093","488,037,162",,,"3,284,664,092",,,,,
[033790],"3,348,275","6,956,713","1,248,127",245,"282,061,261","2,062,201","2,201,200",,,,,,,,,,,,,"42,793,925",0,,,"51,065,672",,"14,091,167",,,"3,917,330",,"85,092",,,,,,,0,"18,858,071","-3,446,676",,,,,,,,"1,957,583","23,086,874","66,873,894",,,,,,,,"8,323,294",0,0,,,,,,,"33,239,262",8,,,"-1,314,285,862","1,061,543,093",,,,"33,324,354","15,280,015",,,"41,611,080","242,546",,0,,,,,,,,,,0,"332,786,590",,"2,068,625","38,755,249","1,926,108,364",0,"25,998,307","11,727,962","6,627,926",,,,,,,"7,650,000",0,,"-80,891,422",,,,,,,,,,-98,,,"972,761,109",-98,,,,,"36,568,374","68,659,433",,"611,822,502",0,,,,"-1,721,528,028","-1,721,528,028",,,"1,584,583,611",,,,,
[131100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,760,134,691",,,,,"1,647,662,614","4,614,328,518",,,,,,,,,,,,,,,,,,,,,"1,945,868,130",,,,,,,,,,,,,,,,,,,,,,,,-219,-219,,"6,775,884,591",-219,-219,,,,"-155,064,086","-184,825,473",,"185,733,439",0,,"-265,909,608",,"-5,022,471,590","-5,022,471,590","-5,022,471,590",,"6,961,618,030",,,,,
[004970],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,761,694,851",,,,,"7,082,437,511","411,665,655",,,,,,,,,,,,,,,,,,,,,"6,097,789,665",,,,,,,,,,,,,,,,,,,,,,,,249,,,"69,906,011,314",,,,,,"326,081,764","2,631,058,695",,"2,336,094,814","1,222,922,598",,,,"3,991,131,338","5,214,053,936",,,"72,242,106,128",,,,,
[065350],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,196,620,651",,,,,"466,669,501","120,334,439",,,,,,,,,,,,,,,,,,,,,"3,702,850,630",,,,,,,,,,,,,,"3,970,030,267",,,,,,,,,,141,138,3,"24,522,377,797",131,128,3,,,"678,235,074","178,225,321",,"2,929,441,014","-207,122,999",,,,"3,326,323,034","3,042,945,960","3,250,068,959","76,254,075","27,451,818,811",,,,,
[011930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"307,982,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,911,644,987",,"462,879,277",,,,0,,,,,,,"71,237,321,006",,,,,,,,,"8,905,735,218","2,318,019",,,,"-2,911,644,987","-2,913,963,006",,0,"80,143,056,224",,,,,
[004170],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,643,200,583",,,,,"28,084,646,343","2,578,703,177",,,,,,,,,,,,,,,,,,,,,"258,977,778,571",,,,,,,,,,,,,,,,,,,,,,,,"5,943",,,"75,556,594,886","5,943",,,,,"15,167,763,744","16,307,143,187",,"309,620,979,154","18,830,390,770",,,,"58,458,132,422","77,288,523,192",,,"385,177,574,040",,,,,
[108320],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,955,990,069",,,,,"1,493,253,325","987,924,719",,,,,,,,,,,,,,,,,,,,,"47,279,152,063",,,,,,,,,,,,,,,,,,,,,,,,636,,,"188,491,256,311",636,,,,,"6,573,206","978,333,756",,"61,235,142,132","-5,096,163,526",,,,"10,336,915,699","15,433,079,225",,,"249,726,398,443",,,,,
[003410],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,563,252,295",,,,,"6,781,713,053","10,214,573,737",,,,,,,,,,,,,,,,,,,,,"21,505,298,205",,,,,,,,,,52,,,,,,,,,,,,,,52,,,"182,032,437,616",52,,,,,"5,123,548,114","935,987,772",,"63,068,550,500","7,762,335,647",,,,"26,180,495,622","33,942,831,269",,,"245,100,988,116",,,,,
[010280],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-468,637,997",,,,,"4,025,330","22,036,042",,,,,,,,,,,,,,,,,,,,,"3,069,736,645",,,,,,,,,,,,,,,,,,,,,,,,-7,,,"16,649,390,841",,,,,,"20,736,978","154,470,260",,"2,601,098,648","56,349,654",,,,"-296,565,773","-352,915,427",,,"19,250,489,489",,,,,
[015540],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"93,935,738",,,,,,,,,,,0,,,,,,,,,,"-3,980,941,543",,,,0,"55,074,894",0,,,,,,,,,,,,,,,,,,,,,"3,997,658,510",,,,,,,,,,,,,,"790,737,405",,,,,,,,,,-908,,,"1,831,441,840",,,,,,"1,245,557,071","93,935,738",,"16,716,967",0,,,,"-5,868,225,387","-5,868,225,387",,,"1,848,158,807",,,,,
[067390],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,128,849,418",,,,,"3,412,811,232","1,071,092,938",,,,,,,,,,,,,,,,,,,,,"2,715,045,860",,,,,,,,,,,,,,,,,,,,,,,,24,,,"31,063,772,316",24,,,,,"4,726,138,831","37,757,359",,"5,843,895,278","173,365,668",,,,"608,820,572","782,186,240",,,"36,907,667,594",,,,,
[099190],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,944,890,870",,,,,"934,027,593","692,838,912",,,,,,,,,,,,,,,,,,,,,"9,288,416,000",,,,,,,,,,,,,,"2,222,842,672",,,,,,,,,,607,,,"24,478,831,453",605,,,,,"836,497,610","970,985,251",,"16,233,306,870","1,211,611,730",,,,"8,331,798,134","9,543,409,864",,,"40,712,138,323",,,,,
[032080],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"983,145,514",,,,,"-125,404,016","342,124,796",,,,,,,,,,,,,,,,,,,,,"1,344,966,125",,,,,,,,,,,,,,,,,,,,,,,,55,,,"10,319,545,001",55,,,,,"232,681,385","1,009,578,576",,"2,328,111,639","140,295,201",,,,"1,152,218,692","1,292,513,893",,,"12,647,656,640",,,,,
[158430],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-165,843,274",,,,,"68,525,069","124,073",,,,,,,,,,,,,,,,,,,,,"2,572,262,580",,,,,,,,,,,,,,,,,,,,,,,,-1,,,"2,912,893,850",-1,,,,,"63,471,456","43,689,678",,"2,406,419,306","-115,316,720",,,,"-1,907,336","-117,224,056",,,"5,319,313,156",,,,,
[011090],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,115,326,322",,,,,"451,766,790","82,783,433",,,,,,,,,,,,,,,,,,,,,"7,494,261,902",,,,,,,,,,,,,,,,,,,,,,,,61,,,"96,290,871,107",,,,,,"203,113,966","43,045,976",,"11,609,588,224","947,994,133",,,,"3,376,247,556","4,324,241,689",,,"107,900,459,331",,,,,
[031330],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,258,621,417",,,,,"3,241,552,155","3,729,203,996",,,,,,,,,,,,,,,,,,,,,"4,273,110,575",,,,,,,,,,,,,,,,,,,,,,,,70,,,"310,264,656,836",70,,,,,"848,847,498","31,873,805",,"14,531,731,992","2,051,299,926",,,,"6,902,695,957","8,953,995,883",,,"324,796,388,828",,,,,
[060540],,,,,,,,,,"1,756,593,561",,,"138,677,137",,"370,595,540","135,046,477","235,549,063",,"1,617,916,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,771,616,170",,,,,"362,705","464,715",,,,,,,,,,"222,061,370",,"241,139,628","446,018,820",,"3,645,243,224",,,,,,"655,657,771",,,,,,,,,,,,,,,,,,,,,,,,72,,,"2,127,189,101",72,,,,,"-61,314,326","558,532,179",,"2,427,273,941","513,870,521",,,,"1,877,490,144","2,391,360,665",,,"4,554,463,042",,,"3,867,304,594",,"687,158,448"
[056190],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,949,432,642",,,,,"2,392,407,284","26,014,214,194",,,,,,,,,,,,,,,,,,,,,"23,386,748,370",,,,,,,,,,,,,,,,,,,,,,,,331,,,"161,555,714,646",331,,,,,"25,653,383","2,304,894,208",,"60,336,181,012","4,523,460,875",,,,"11,083,405,682","15,606,866,557",,,"221,891,895,658",,,,,
[080000],,,,"542,622,496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"736,019,259",,,,,,,,,,,"207,086,018",,,,,,,,,,,,,,,,"1,004,560,018",,,,,"320,296,691",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,513,101,565",,,,,,,,,,,,"-423,079,884",,,,,,,,,,,"965,919,051",68,,,"7,191,775,432",68,,,,,,"2,367,168,695",,"2,833,398,256","353,950,306",,,,"2,333,515,080","2,687,465,386",,,"10,025,173,688",,,,,
[005850],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,264,086,479",,,,,"10,317,993,699","1,271,322,055",,,,,,,,,,,,,,,,,,,,,"24,750,504,871",,,,,,,,,,,,,,,,,,,,,,,,125,,,"346,833,191,211",,,,,,"2,372,430,588","3,139,946,008",,"18,486,418,392","-2,249,608,054",,,,"5,799,708,639","3,550,100,585",,,"365,319,609,603",,,,,
