,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossBeforeTax,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_DistributionCosts,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromRoyalties,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[000050],"114,564,325",,,"11,427,166,443","10,518,591",,,"40,543,531,817","984,223,455","9,154,000",,"69,128,508","52,780,249","291,537,239","157,276,938","268,521,965","1,256,018,273","3,895,917","2,612,280,415","178,388,711","377,050,279","288,022,388",,"239,400","40,817,211","60,087,286","8,350,183,698",,,"1,722,634,387","725,399,353",,"48,084,802",,,"154,548,623","687,456,650","3,500,185","323,226,779","14,823,363,618",,"51,244,564","560,584,252","13,216,153",,,,"13,311,682,543",,"2,457","915,127,578","15,899,657",,,,,,,,,,"26,212,354,449","16,387,668",,,,,"53,855,214,360",,,,,,,,"3,527,407,993","203,442,368",,"23,173,547,316","-713,841,898",,,"6,737,295,005","6,023,453,107",,,,"77,028,761,676",,,,,"50,816,407,227",
[013580],,,,,,,,,,,,,,,,,,,,,,,,,,,"7,362,278,776",,,"263,522,265","1,624,493,003",,,,,,,,,"9,372,770,971",,,,,,,,,,,,,,,,,,,,,,,,,184,,,"204,185,497,994",,,,,,,,"4,380,382,300","611,421,883",,"16,735,049,747","606,510,885",,,"1,625,836,736","2,232,347,621",,,,"220,920,547,741",,,,,,
[004200],,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,295,410,960",,0,"555,476,309","194,449,129",,,,,,,,,"6,529,709,798",,,,,,,,"2,411,000,000",,,,,,,,,,,,,,"2,296,139,690",,,-390,,,"132,213,715,832",,,,,,,,"3,250,812,243","320,535,911",,"5,234,298,838","-657,849,365",,0,"-3,206,810,747","-3,864,660,112",,,,"137,448,014,670",,,,,,
[060480],,,,,,,,,,,,,,,,,,,,,,,,,,,"232,888,273",,,"150,622,713","24,001",,,,,,,,,"395,929,733",,,,,,,,,,,,,,,,,,,,,,,,,21,,,"6,192,953,427",,,,,,,,"58,677,236","13,879,456",,"628,818,006","-128,236,831",,,"210,452,374","338,689,205",,,,"6,821,771,433",,,,,,
[011780],,,,,,,,,,,,,,,,,,,,,,,,,,,"46,978,134,454",,,"11,658,409,137","7,453,992,904",,,,,,,,,"36,336,076,946",,,,,,,,,,,,,,,,,,,,,,,,,"1,096",,,"727,504,298,399",,,,,,,,"17,594,405,020","6,238,423,759",,"83,314,211,400","9,223,845,785",,,"30,602,723,641","39,826,569,426",,,,"810,818,509,799",,,,,,
[000270],,,,,,,,,,,,,,,,,,,,,,,,,,,"380,095,000,000",,,"30,779,000,000",,,,,,,,,,"1,068,411,000,000",,,,,,,,,,,,"52,551,000,000",,,,"124,953,000,000",,,,,,,"488,826,000,000",,"2,617",,,"6,052,170,000,000",,,,,,,,,"9,988,000,000",,"1,448,506,000,000","81,076,000,000","716,970,000,000",,"1,056,756,000,000","1,137,832,000,000",,,,"7,500,676,000,000",,,,,,
[089600],,,,,,,,,,,,,,,,,,,,,,,,,,,"1,797,801,318",,,,,,,,,,,,,,,,,,,,,,,,,,,"-29,559,124",,,,,,,,,,,198,,,,,198,,,,,,,,,,"-479,712,764",,,"1,628,930,322","2,108,643,086",,,,"9,187,767,538",,,,,,
[004270],,,,,,,,,,,,,,,,,,,,,,,,,,,"570,951,039",,,"80,697,488","35,460,566",,,,,,,,,"1,058,480,535",,,,,,,,,,,,,,,,,,,,,,,,,15,,,"11,601,216,838",,,,,,,,"870,534,143","657,110,651",,"1,629,431,574","84,806,922",,,"317,957,547","402,764,469",,,,"13,230,648,412",,,,,,
[095660],,,,,,,,,,,,,,,,,,,,,,,,,,,"9,933,171,851",,,"6,778,874,991","288,184,391",,,,,,,,,"12,573,426,613",,,,,,,,,,,,,,,,,,,,,,,,,705,,,"11,571,825,870",,,,,,,,"1,167,685,062","1,887,859,903",,"22,506,598,464","1,866,112,195",,,"15,277,925,097","17,144,037,292",,,,"34,078,424,334",,,,,,
[042420],,,,,,,,,,,,,,,,,,,,,,,,,,,"-44,091,312",,,,,,,,,,,,,,,,,,,,,,,,,,,"744,200,901",,,,,,,,,,,97,,,,,,,,,,,,,,,"239,021,978",,,"870,901,064","1,109,923,042",,,,"167,658,319",,,"23,006,500","142,016,027","2,635,792",
