,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromDividends,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromGovernmentGrants,dart_GainsOnDisposalsOfInvestments,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossArisingFromDifferenceBetweenCarryingAmountOfFinancialLiabilityExtinguishedAndConsiderationPaid,dart_LossOnDispositionOfReceivables,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_BasicEarningsLossPerShareFromDiscontinuedOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_DilutedEarningsLossPerShareFromDiscontinuedOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossAttributableToAbstract,entity_ProfitLossAttributableToNoncontrollingInterests,entity_ProfitLossAttributableToOwnersOfParent,entity_ProfitLossBeforeTax,entity_ProfitLossFromContinuingOperations,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossAttributableToAbstract,ifrs_ProfitLossAttributableToNoncontrollingInterests,ifrs_ProfitLossAttributableToOwnersOfParent,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[005610],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,307,254,206",,,"749,898,070","321,184,695",,,,,,,,,,,,,,,,,,,,,,,,,,,"189,334,195",,,,,,,,,,,,,,"16,305,453,446","1,111",,,"300,949,971,370",,,,,,,"1,201,045,247","81,432,539",,"81,856,678,616","2,499,112,427",,"9,306,576,641",,"7,881,048","9,298,695,593","11,805,689,068","9,306,576,641",0,,"382,806,649,986",,,,,
[048770],,,,,,,,,,,,"50,000",,,,,"40,348,355",,,"89,909",,"229,932,319","-28,569,814",,,,"55,228,423",,,"25,706,706","8,139,538","-939,367,095",,,"154,473,164","13,326,749",,,,,,,,,,,,,,,,,,,,,,,,,,,"-18,217,784",,"25,000,000","-67,248,795",,,,,,,,,,,,-77,,,,,,,,,,"229,932,319","-28,569,814",,,"-94,595,210",,"-980,345,387",,"14,967,061","-995,312,449","-1,074,940,597",,,,,,,,,
[009450],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,873,562,772",,,"3,737,832,896","2,770,835,366",,,,,,,,,"33,189,992,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986,,,"82,873,379,269",,986,,,,,"486,621,475","116,161,191",,"49,063,555,677","3,918,575,538",,"12,551,524,480",,"110,594,174","12,440,930,306","16,470,100,018",,,,"131,936,934,946",,,,,
[000050],"148,294,471","11,341,043",,"12,475,748,169","22,109,409",,,,,"1,068,529,064","9,154,000",,"91,771,322","46,643,100","406,598,807","1,980,898,258","514,176,852",,,"3,225,800","12,047,441","2,056,044,697","61,611,089",,,"1,002,224,359","871,367,679",,,"93,218,027","537,384,208","7,185,874,454",,,"2,591,518,937","2,410,976,246",,"50,545,052",,"8,071,201","88,084,635","867,171,962","19,856,760","332,908,567","16,398,217,427",,"109,010,960","553,376,217","21,020,021",,,,,,"13,502,241,477",,,,,"961,327,995",,,113,,,,"-2,897,370",,,,,,,"92,487,488",,"48,567,783",,,,,"67,719,949,539",,,,,,,"3,017,372,692","70,765,089",,"23,584,091,881","1,398,749,947",,"3,085,989,034",,,,"4,484,738,981",,,,"91,304,041,420",,,,,
[013580],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,871,258,791",,,"244,456,771","1,680,694,317",,,,,,,,,"20,276,729,571",,,,,,,,,,,,,,,,,,"259,052,141",,,,,,,,,,,,,,,347,,,"342,238,168,339",,,,,,,"4,407,906,564","1,671,342,018",,"29,147,988,362","1,272,958,689",,"3,189,921,844",,"221,309,621","2,968,612,223","4,462,880,533",,,,"371,386,156,701",,,,,
[011780],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,308,857,359",,,"22,939,198,337","19,805,287,247",,,,,,,,,"39,266,281,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,369",,,"785,939,351,062",,,,,,,"22,589,945,833","14,158,135,639",,"85,575,139,069","12,515,429,119",,"38,377,229,580",,"147,690,564","38,229,539,016","50,892,658,699",,,,"871,514,490,131",,,,,"9,881,700,444"
[000270],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"633,622,000,000",,,"37,794,000,000",,,,,,,,,,"1,939,519,000,000",,,,,,,,,,,,,,,,"70,507,000,000",,,,"295,893,000,000",,,,,,,,,,,"682,624,000,000",,"2,358",,,"10,076,226,000,000",,,,,,,,"26,377,000,000",,"2,573,141,000,000","102,120,000,000",,"944,584,000,000",,,,"1,046,704,000,000",,,,"12,649,367,000,000",,,,,"348,911,000,000"
[089600],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,800,950,992",,,,,,,,,,,,,,,,,,,,,,,,,,,278,,,,"-69,471,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-663,987,728",,"2,290,224,240",,,"2,290,224,240","2,954,211,968",,,,"12,508,796,147",,,,,
[004270],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,800,107,165",,,"53,742,812","3,585,162",,,,,,,,,"4,297,348,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,"17,315,083,027",,,,,,,"2,781,819,441","2,034,552,387",,"6,097,455,363","302,729,233",,"762,023,939",,"-752,519","762,776,458","1,064,753,172","762,023,939",,,"23,412,538,390",,,,,"-38,244,589"
[095660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,325,887,084",,,"1,497,506,995","666,877,759",,,,,,,,,"19,944,672,757",,,,,,,,,,,,,,,,,,,,,,,,"-68,597,984","-97,805,812",,,,,,,,358,366,-8,"24,801,779,702",,,,,,,"1,681,050,342","1,670,369,886",,"32,270,559,841","3,466,230,127",,"7,764,180,320",,"-68,564,342","7,832,744,662","11,396,814,243","7,930,584,116","-166,403,796",,"57,072,339,543",,,,,"-1,749,021,621"
